variable,ADF Statistic,p-value,Lags Used,Observations Used,Stationary
IHSG (log-diff),-27.637466579996396,0.0,2,2439,Yes
BI_Rate (diff),-6.88187169078673,1.4266098776529372e-09,21,2420,Yes
CPI (diff),-8.525294855635453,1.0732560122870822e-13,20,2421,Yes
M2 (log-diff),-12.635399880696356,1.4737693606255862e-23,21,2420,Yes
NPL_Ratio (diff),-14.304398185541261,1.2137252581397788e-26,18,2423,Yes
GDP (log-diff),-49.67121005367812,0.0,0,2441,Yes
USDIDR (log-diff),-21.168144307636016,0.0,3,2438,Yes
WTI (log-diff),-9.784448904046053,6.600444054514403e-17,21,2420,Yes
US_Treasury_10Y (diff),-51.78762963124301,0.0,0,2441,Yes
Coal (log-diff),-11.182985413926975,2.474376444292369e-20,17,2424,Yes
Copper (log-diff),-51.95038702424305,0.0,0,2441,Yes
Nickel (log-diff),-14.892804177077371,1.5481873289702776e-27,13,2428,Yes
Silver (log-diff),-32.80224115482211,0.0,1,2440,Yes
Tin (log-diff),-47.40682955499657,0.0,0,2441,Yes
Gold (log-diff),-48.67720297869628,0.0,0,2441,Yes
STI (log-diff),-14.117791159955528,2.4550927979799896e-26,11,2430,Yes
