variable,ADF Statistic,p-value,Lags Used,Observations Used,Stationary
IHSG,-1.454414223968919,0.5559295119460743,3,2404,No
BI_Rate,-2.0395787144120034,0.26949324186424173,22,2385,No
CPI,-1.1101380182782028,0.7110120934416037,21,2386,No
M2,0.7846394554633228,0.9913841301825792,20,2387,No
NPL_Ratio,-1.400514016273855,0.5820296678658325,0,2407,No
GDP,-0.14598185617898451,0.9446615678270256,0,2407,No
USDIDR,-1.896646701349912,0.33364024894826255,4,2403,No
WTI,-1.9113303636094792,0.32674986699187536,12,2395,No
US_Treasury_10Y,-0.5205954768025669,0.8879343793981984,1,2406,No
Coal,-1.6308884090581826,0.46702571862491304,18,2389,No
Copper,-1.2460666104135583,0.6534719506827156,1,2406,No
Nickel,-1.8316926573628007,0.36484451797783046,25,2382,No
Silver,-1.1966857382193645,0.6750197961899544,10,2397,No
Tin,-1.4373976326825293,0.56422179289322,1,2406,No
Gold,1.0836775840365354,0.9950748815321075,0,2407,No
STI,-2.113864487068668,0.23897629084440736,4,2403,No
