Model,Group,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,R2_mean,DA_mean,MASE_mean,HitLarge_mean,MAPE_f1,MAPE_f2,MAPE_f3,MAPE_f4,MAPE_f5
RandomForest,All_Groups,120,5,1.0885,0.3379,65.5352,95.2972,0.9148,50.03,1.8903,49.34,1.3957,1.5889,0.8713,0.7461,0.8404
RandomForest,All_Groups,120,20,2.1089,0.5838,126.6991,192.0971,0.6624,50.13,3.6422,48.3,2.47,3.0587,1.9272,1.52,1.5689
ExtraTrees,Baseline,20,1,0.6608,0.1652,40.3831,55.2859,0.969,51.81,1.1613,48.25,0.7935,0.9153,0.5688,0.4815,0.545
ExtraTrees,Baseline,20,5,1.0892,0.3455,65.5086,95.373,0.9163,51.11,1.89,50.42,1.3944,1.6071,0.8684,0.7357,0.8405
ExtraTrees,Baseline,20,20,2.1004,0.6008,126.1396,191.257,0.6706,49.82,3.6273,48.67,2.4482,3.0882,1.9251,1.4758,1.5645
ExtraTrees,Baseline,120,1,0.6599,0.1645,40.3513,55.1471,0.9691,52.57,1.1604,47.9,0.7903,0.9145,0.5683,0.4814,0.5452
ExtraTrees,Baseline,120,5,1.0869,0.3435,65.3837,95.0715,0.9165,50.75,1.8863,50.2,1.3946,1.5985,0.8676,0.735,0.8388
ExtraTrees,Baseline,120,20,2.1053,0.6011,126.2727,191.6892,0.6693,50.24,3.6321,49.94,2.5064,3.0669,1.9062,1.479,1.5677
ExtraTrees,risk_global,20,1,0.6581,0.1632,40.2482,55.0771,0.969,52.32,1.1573,52.07,0.7863,0.9116,0.5658,0.4814,0.5452
ExtraTrees,risk_global,20,5,1.0881,0.3352,65.5503,95.2826,0.9152,50.8,1.8903,51.56,1.3831,1.5917,0.8745,0.7496,0.8415
ExtraTrees,risk_global,20,20,2.1144,0.5992,126.9022,192.8574,0.6624,49.5,3.6496,48.22,2.4996,3.0835,1.9142,1.5105,1.5642
ExtraTrees,risk_global,120,1,0.6582,0.1626,40.2621,55.0148,0.9691,52.32,1.1577,51.19,0.7881,0.9093,0.5671,0.4812,0.5453
ExtraTrees,risk_global,120,5,1.0859,0.3393,65.3685,94.9939,0.9165,49.92,1.8856,49.91,1.3944,1.5877,0.8704,0.7369,0.8399
ExtraTrees,risk_global,120,20,2.1038,0.6033,126.1742,191.4649,0.6719,50.08,3.6297,49.47,2.5089,3.0691,1.8968,1.4748,1.5694
ExtraTrees,commodity_id,20,1,0.66,0.164,40.3593,55.2162,0.9692,52.16,1.1606,47.03,0.79,0.9135,0.5704,0.4805,0.5455
ExtraTrees,commodity_id,20,5,1.0899,0.3427,65.5948,95.354,0.9159,50.44,1.8923,51.45,1.4002,1.5979,0.872,0.7394,0.84
ExtraTrees,commodity_id,20,20,2.1048,0.592,126.4767,191.8589,0.6685,49.29,3.6361,48.78,2.4565,3.0663,1.9568,1.4794,1.5651
ExtraTrees,commodity_id,120,1,0.6585,0.162,40.2916,55.1535,0.9689,51.65,1.1585,46.56,0.7887,0.9083,0.568,0.4833,0.5445
ExtraTrees,commodity_id,120,5,1.0851,0.3356,65.3536,95.2445,0.9148,50.39,1.8849,50.37,1.3903,1.5817,0.8707,0.7431,0.8397
ExtraTrees,commodity_id,120,20,2.0992,0.5892,126.0462,191.4058,0.6718,50.03,3.6245,49.76,2.4903,3.0384,1.9221,1.4768,1.5681
ExtraTrees,monetary_id,20,1,0.6589,0.1618,40.318,55.1091,0.9689,52.37,1.1592,52.02,0.7858,0.9101,0.5702,0.4836,0.5449
ExtraTrees,monetary_id,20,5,1.0852,0.344,65.2841,94.8787,0.9167,50.9,1.8837,51.54,1.3977,1.595,0.8574,0.7353,0.8404
ExtraTrees,monetary_id,20,20,2.1076,0.5919,126.6266,191.3773,0.6698,49.82,3.6404,49.11,2.4627,3.0651,1.9654,1.4793,1.5654
ExtraTrees,monetary_id,120,1,0.6591,0.1624,40.3221,55.0914,0.969,51.55,1.1593,49.95,0.7861,0.9114,0.5701,0.4825,0.5453
ExtraTrees,monetary_id,120,5,1.0839,0.3417,65.2115,94.8903,0.9165,50.59,1.8814,50.19,1.3957,1.5891,0.8602,0.7361,0.8384
ExtraTrees,monetary_id,120,20,2.1052,0.5949,126.3004,191.6959,0.6683,49.92,3.6325,49.02,2.5109,3.0505,1.9119,1.4838,1.5687
ExtraTrees,real_economy_id,20,1,0.6593,0.1631,40.3219,55.152,0.969,52.82,1.1594,49.52,0.7892,0.9113,0.5686,0.4818,0.5455
ExtraTrees,real_economy_id,20,5,1.0858,0.3405,65.3485,94.987,0.9166,50.85,1.8851,50.62,1.3923,1.5916,0.8688,0.7358,0.8405
ExtraTrees,real_economy_id,20,20,2.0992,0.5978,126.0509,191.1357,0.6706,49.87,3.6247,48.91,2.4548,3.0773,1.9216,1.4777,1.5646
ExtraTrees,real_economy_id,120,1,0.6584,0.163,40.2776,55.0638,0.9691,52.62,1.1581,49.87,0.7856,0.912,0.5674,0.4814,0.5457
ExtraTrees,real_economy_id,120,5,1.083,0.3397,65.1872,94.8185,0.9164,50.69,1.8804,50.41,1.3819,1.5932,0.8647,0.7359,0.8393
ExtraTrees,real_economy_id,120,20,2.0994,0.5964,125.942,191.4236,0.6688,49.97,3.6223,49.57,2.4917,3.0586,1.8957,1.4811,1.5698
ExtraTrees,All_Groups,20,1,0.6579,0.1622,40.2469,55.0722,0.969,53.13,1.1572,51.37,0.785,0.9101,0.5661,0.4827,0.5453
ExtraTrees,All_Groups,20,5,1.0848,0.3403,65.3019,94.9406,0.9159,50.8,1.8839,50.61,1.3968,1.5874,0.8574,0.7421,0.8402
ExtraTrees,All_Groups,20,20,2.105,0.5973,126.366,191.6116,0.6708,49.97,3.6338,49.83,2.4781,3.0683,1.9389,1.4748,1.5647
ExtraTrees,All_Groups,120,1,0.6586,0.1617,40.2956,55.0699,0.969,50.79,1.1586,47.77,0.7862,0.9091,0.5691,0.4829,0.5456
ExtraTrees,All_Groups,120,5,1.0823,0.3395,65.1461,94.7807,0.9167,50.13,1.8793,49.73,1.3881,1.5867,0.8631,0.7341,0.8394
ExtraTrees,All_Groups,120,20,2.1049,0.5922,126.3574,191.892,0.6676,49.97,3.6336,49.28,2.4923,3.0554,1.9176,1.4908,1.5686
XGBoost,Baseline,20,1,0.7096,0.1706,43.423,59.098,0.9639,50.03,1.2482,46.1,0.845,0.9724,0.6087,0.518,0.604
XGBoost,Baseline,20,5,1.1688,0.3465,70.5157,102.0676,0.9012,51.88,2.0324,51.77,1.4642,1.6935,0.9486,0.8006,0.937
XGBoost,Baseline,20,20,2.3139,0.668,139.9527,202.2597,0.604,50.03,4.0257,49.14,2.5991,3.4768,1.9909,1.5774,1.9254
XGBoost,Baseline,120,1,0.709,0.1735,43.3602,58.0883,0.9647,50.08,1.2467,49.01,0.8517,0.9758,0.6093,0.5304,0.5781
XGBoost,Baseline,120,5,1.1749,0.3816,70.5652,100.8772,0.9061,51.0,2.0377,50.97,1.5818,1.6928,0.9069,0.7886,0.9044
XGBoost,Baseline,120,20,2.373,0.73,142.7009,211.0193,0.6049,48.07,4.1101,46.39,2.8569,3.5533,2.0857,1.6256,1.7436
XGBoost,risk_global,20,1,0.7139,0.154,43.9174,59.0202,0.9624,51.4,1.2608,49.57,0.8285,0.9577,0.6392,0.5618,0.5822
XGBoost,risk_global,20,5,1.2019,0.2807,73.3374,104.4974,0.8854,50.08,2.1063,49.87,1.406,1.6557,1.008,0.9454,0.9944
XGBoost,risk_global,20,20,2.6124,0.4538,159.268,247.2946,0.2371,49.23,4.5517,50.07,2.8805,3.2888,2.5603,2.3892,1.9433
XGBoost,risk_global,120,1,0.7058,0.1561,43.3723,58.3248,0.9642,51.7,1.2452,53.43,0.8185,0.9516,0.6443,0.5377,0.5767
XGBoost,risk_global,120,5,1.2014,0.2895,73.1296,103.6768,0.8937,48.84,2.1017,50.87,1.483,1.611,1.0624,0.9138,0.9367
XGBoost,risk_global,120,20,2.4194,0.6407,146.531,215.2459,0.5258,48.44,4.2063,47.82,2.7111,3.4833,2.31,1.9495,1.643
XGBoost,commodity_id,20,1,0.718,0.1454,44.2155,59.2744,0.9614,50.38,1.2683,49.98,0.8232,0.947,0.6629,0.5865,0.5703
XGBoost,commodity_id,20,5,1.1653,0.2864,71.0046,101.6167,0.9006,50.64,2.0413,50.65,1.4418,1.5655,1.0241,0.8254,0.97
XGBoost,commodity_id,20,20,2.4556,0.5756,150.1511,224.1544,0.4429,48.71,4.2942,47.21,2.5449,3.3363,2.6931,2.0615,1.6425
XGBoost,commodity_id,120,1,0.7198,0.1452,44.3808,59.3921,0.9599,49.77,1.2732,49.98,0.8291,0.9503,0.6407,0.5862,0.5925
XGBoost,commodity_id,120,5,1.202,0.2948,73.064,103.4751,0.8877,48.84,2.1008,50.93,1.5265,1.5958,1.0021,0.9428,0.943
XGBoost,commodity_id,120,20,2.5313,0.5965,154.851,227.7244,0.4078,48.44,4.4294,47.32,2.625,3.4422,2.736,2.2165,1.637
XGBoost,monetary_id,20,1,0.7073,0.1603,43.343,59.0203,0.9624,51.6,1.245,51.71,0.8357,0.955,0.625,0.5407,0.5802
XGBoost,monetary_id,20,5,1.1693,0.3107,71.0457,100.2867,0.905,50.95,2.0448,52.82,1.4641,1.6077,1.0013,0.7984,0.9749
XGBoost,monetary_id,20,20,2.3487,0.5782,142.1996,210.3561,0.5905,48.65,4.0834,47.26,2.7527,3.2277,2.2718,1.7072,1.7843
XGBoost,monetary_id,120,1,0.6996,0.1709,42.829,57.945,0.9652,52.06,1.2312,52.47,0.8305,0.9662,0.6173,0.5156,0.5686
XGBoost,monetary_id,120,5,1.1566,0.3287,69.979,99.6598,0.9009,50.13,2.0159,49.71,1.4515,1.6503,0.906,0.8565,0.9188
XGBoost,monetary_id,120,20,2.2554,0.6782,135.7076,195.133,0.6527,49.92,3.908,49.51,2.6866,3.3763,1.9016,1.5716,1.7408
XGBoost,real_economy_id,20,1,0.6982,0.1624,42.8106,58.2568,0.9635,51.7,1.2303,46.8,0.8299,0.9489,0.6006,0.5271,0.5845
XGBoost,real_economy_id,20,5,1.1484,0.3231,69.4839,99.9282,0.9021,51.21,2.0012,52.7,1.4269,1.6412,0.9139,0.8453,0.9148
XGBoost,real_economy_id,20,20,2.443,0.7248,147.6962,216.2181,0.524,48.92,4.2428,48.98,2.5328,3.7875,2.2343,1.7402,1.9201
XGBoost,real_economy_id,120,1,0.7054,0.166,43.1787,58.2931,0.9636,50.53,1.2408,48.46,0.8323,0.9691,0.5921,0.546,0.5875
XGBoost,real_economy_id,120,5,1.1757,0.3537,70.9613,100.803,0.9015,49.2,2.0453,46.5,1.4574,1.7289,0.8926,0.8376,0.9621
XGBoost,real_economy_id,120,20,2.3072,0.6611,139.1261,203.1063,0.6194,49.71,4.0025,48.14,2.7316,3.365,2.1235,1.5884,1.7275
XGBoost,All_Groups,20,1,0.7105,0.1475,43.7383,58.979,0.9619,51.7,1.255,54.32,0.8151,0.948,0.6345,0.5675,0.5872
XGBoost,All_Groups,20,5,1.2044,0.3115,73.0228,104.4651,0.886,51.67,2.0995,52.85,1.4364,1.7021,1.0117,0.9702,0.9018
XGBoost,All_Groups,20,20,2.4362,0.4799,148.6537,220.8726,0.5063,50.24,4.2533,48.08,2.6401,3.2194,2.4431,1.9742,1.9044
XGBoost,All_Groups,120,1,0.695,0.1482,42.7254,58.0925,0.963,51.25,1.2264,51.89,0.8063,0.9289,0.6235,0.5495,0.5669
XGBoost,All_Groups,120,5,1.1911,0.286,72.5792,101.8417,0.8972,49.0,2.0856,50.73,1.4512,1.6099,1.0496,0.8944,0.9506
XGBoost,All_Groups,120,20,2.4137,0.6212,146.4489,213.7859,0.5096,47.92,4.206,49.45,2.8033,3.4105,2.2313,1.9263,1.6972
LightGBM,Baseline,20,1,0.7057,0.174,43.1483,58.8242,0.9635,52.11,1.2411,51.15,0.8633,0.9627,0.5994,0.5234,0.5795
LightGBM,Baseline,20,5,1.1676,0.3247,70.8326,100.5674,0.9014,51.21,2.0394,50.12,1.4293,1.662,0.9652,0.791,0.9904
LightGBM,Baseline,20,20,2.3094,0.5953,140.0637,207.3292,0.5864,49.82,4.0199,47.79,2.5645,3.2656,2.302,1.5234,1.8913
LightGBM,Baseline,120,1,0.7043,0.1721,43.1054,57.8893,0.9651,50.59,1.2396,50.84,0.8543,0.9625,0.605,0.5234,0.5764
LightGBM,Baseline,120,5,1.1848,0.3519,71.5599,101.3386,0.8981,49.87,2.0632,49.29,1.5226,1.6964,0.9124,0.8605,0.9323
LightGBM,Baseline,120,20,2.3944,0.772,143.6607,207.9074,0.607,48.55,4.1381,46.68,2.9391,3.5384,2.3309,1.74,1.4239
LightGBM,risk_global,20,1,0.7094,0.1426,43.6896,58.5564,0.9634,52.37,1.2531,51.93,0.8106,0.9359,0.6524,0.561,0.5872
LightGBM,risk_global,20,5,1.1956,0.3017,72.5732,103.7921,0.8902,50.8,2.0857,54.29,1.4177,1.6743,1.0526,0.9326,0.9008
LightGBM,risk_global,20,20,2.4587,0.416,150.1887,225.2586,0.4098,49.66,4.2967,48.44,2.9086,2.9786,2.2026,2.2921,1.9117
LightGBM,risk_global,120,1,0.7078,0.1492,43.527,58.4699,0.9632,50.28,1.2491,52.8,0.821,0.94,0.6483,0.5605,0.569
LightGBM,risk_global,120,5,1.2251,0.2858,74.5462,105.366,0.888,49.61,2.1409,50.41,1.4842,1.6362,1.1185,0.9111,0.9755
LightGBM,risk_global,120,20,2.4306,0.6041,146.8721,216.8459,0.4813,49.13,4.2145,48.11,2.7604,3.4268,2.1519,2.1279,1.686
LightGBM,commodity_id,20,1,0.7208,0.1464,44.4018,59.257,0.9614,50.38,1.2741,49.16,0.8422,0.9437,0.6528,0.5784,0.587
LightGBM,commodity_id,20,5,1.1766,0.2828,71.6876,102.4587,0.8898,51.16,2.0605,52.49,1.4572,1.5759,1.0176,0.9339,0.8983
LightGBM,commodity_id,20,20,2.4536,0.4788,150.2643,221.3329,0.4679,47.92,4.2975,44.63,2.7481,3.0638,2.6748,1.9377,1.8438
LightGBM,commodity_id,120,1,0.7212,0.147,44.4275,59.7575,0.9596,48.96,1.2746,48.7,0.8251,0.9587,0.641,0.5809,0.6
LightGBM,commodity_id,120,5,1.1893,0.2567,72.6015,101.9636,0.888,49.87,2.0837,53.08,1.4054,1.5851,1.0172,0.9678,0.9713
LightGBM,commodity_id,120,20,2.6133,0.4401,160.1928,234.5574,0.331,47.65,4.5769,46.44,2.7513,3.3474,2.5445,2.4155,2.0077
LightGBM,monetary_id,20,1,0.709,0.1578,43.494,58.3989,0.9637,51.7,1.2494,54.45,0.8488,0.9427,0.6307,0.5445,0.5782
LightGBM,monetary_id,20,5,1.1912,0.3294,72.2237,101.0983,0.903,50.59,2.0794,52.73,1.4773,1.6788,1.0167,0.8115,0.9715
LightGBM,monetary_id,20,20,2.3258,0.5284,141.279,206.9086,0.6129,49.45,4.0527,47.33,2.76,3.0368,2.347,1.6391,1.846
LightGBM,monetary_id,120,1,0.7013,0.1709,42.9132,57.9976,0.9642,50.43,1.234,48.28,0.8474,0.9609,0.5992,0.5291,0.5699
LightGBM,monetary_id,120,5,1.1711,0.3439,70.7889,100.2908,0.9017,49.97,2.0402,49.85,1.4843,1.6814,0.9173,0.8302,0.9425
LightGBM,monetary_id,120,20,2.2423,0.6363,134.5685,196.1278,0.653,49.82,3.8756,49.0,2.9398,3.0734,1.9402,1.5882,1.6696
LightGBM,real_economy_id,20,1,0.702,0.1683,42.9531,58.2206,0.9638,52.16,1.2351,50.92,0.8633,0.9441,0.6071,0.5337,0.5617
LightGBM,real_economy_id,20,5,1.1657,0.3337,70.5381,99.7097,0.9048,50.03,2.0314,49.33,1.4191,1.6879,0.9412,0.7963,0.9839
LightGBM,real_economy_id,20,20,2.4104,0.5763,146.8331,214.7205,0.5329,48.02,4.2086,47.16,2.5874,3.3583,2.4522,1.6711,1.983
LightGBM,real_economy_id,120,1,0.7098,0.1724,43.4992,58.3724,0.9639,50.84,1.2506,50.36,0.8427,0.9808,0.608,0.5316,0.5858
LightGBM,real_economy_id,120,5,1.1898,0.3396,72.0842,102.1496,0.8965,49.61,2.076,49.1,1.4532,1.7234,0.9588,0.8396,0.9738
LightGBM,real_economy_id,120,20,2.3906,0.6793,144.1446,206.3782,0.6011,49.23,4.1464,46.49,2.8547,3.4546,2.2285,1.6884,1.7268
LightGBM,All_Groups,20,1,0.7013,0.1492,43.1533,57.9002,0.964,53.33,1.2388,54.49,0.8223,0.9297,0.6328,0.5463,0.5757
LightGBM,All_Groups,20,5,1.1971,0.2839,72.9665,103.6683,0.8865,50.49,2.0959,51.78,1.4201,1.6385,1.0628,0.9297,0.9346
LightGBM,All_Groups,20,20,2.5271,0.3841,154.7167,227.7357,0.3842,48.81,4.4215,49.18,2.828,3.0891,2.4022,2.3052,2.0108
LightGBM,All_Groups,120,1,0.7006,0.1431,43.1446,57.6366,0.9629,51.4,1.2379,56.73,0.8166,0.9193,0.6393,0.565,0.5629
LightGBM,All_Groups,120,5,1.2117,0.2663,73.9781,103.694,0.8862,48.84,2.1229,51.67,1.4173,1.6269,1.091,0.9482,0.9752
LightGBM,All_Groups,120,20,2.6394,0.5651,161.1177,230.0121,0.3544,47.02,4.6142,48.34,2.892,3.5744,2.3875,2.4516,1.8913
