Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large,baseline_mape,mape_impr_pct,mape_impr_abs,grp_order
RandomForest,All_Commodity_Regional,120,1,0.506,35.9661,47.9786,0.9718,51.9,0.9722,53.28,0.5069,0.178,0.0009,6
RandomForest,All_Covariates,120,1,0.5072,36.05,48.1188,0.9717,52.28,0.9744,51.82,0.5069,-0.059,-0.0003,7
XGBoost,Baseline,20,1,0.504,35.8316,47.8082,0.972,53.42,0.9685,51.82,0.504,0.0,0.0,0
XGBoost,Sig_Macro,20,1,0.5019,35.6695,47.6549,0.9722,53.23,0.9641,56.93,0.504,0.417,0.0021,1
XGBoost,Sig_Commodity,20,1,0.5089,36.1555,48.1818,0.9716,53.42,0.9773,59.12,0.504,-0.972,-0.0049,2
XGBoost,Sig_All,20,1,0.5055,35.9105,47.8863,0.9719,55.51,0.9707,58.39,0.504,-0.298,-0.0015,4
XGBoost,All_Macro,20,1,0.5073,36.048,48.0044,0.9718,49.05,0.9744,48.91,0.504,-0.655,-0.0033,5
XGBoost,All_Commodity_Regional,20,1,0.5083,36.1177,48.2155,0.9715,55.13,0.9763,58.39,0.504,-0.853,-0.0043,6
XGBoost,All_Covariates,20,1,0.5075,36.0582,47.9067,0.9719,54.18,0.9747,59.85,0.504,-0.694,-0.0035,7
XGBoost,Baseline,120,1,0.5139,36.5146,48.1526,0.9716,49.05,0.987,51.82,0.5139,0.0,0.0,0
XGBoost,Sig_Macro,120,1,0.5138,36.5116,48.4949,0.9712,51.33,0.9869,53.28,0.5139,0.019,0.0001,1
XGBoost,Sig_Commodity,120,1,0.5095,36.1978,48.6124,0.9711,52.09,0.9784,57.66,0.5139,0.856,0.0044,2
XGBoost,Sig_All,120,1,0.5085,36.1233,48.6151,0.9711,50.95,0.9764,54.74,0.5139,1.051,0.0054,4
XGBoost,All_Macro,120,1,0.5131,36.473,48.4158,0.9713,49.81,0.9859,52.55,0.5139,0.156,0.0008,5
XGBoost,All_Commodity_Regional,120,1,0.5029,35.7469,48.3285,0.9714,54.37,0.9662,56.93,0.5139,2.14,0.011,6
XGBoost,All_Covariates,120,1,0.5058,35.9478,48.2481,0.9715,51.52,0.9717,56.2,0.5139,1.576,0.0081,7
ExtraTrees,Baseline,20,5,0.8533,60.6595,79.7646,0.9224,47.71,1.6396,51.09,0.8533,0.0,0.0,0
ExtraTrees,Sig_Macro,20,5,0.8523,60.5757,79.6029,0.9227,47.71,1.6374,51.82,0.8533,0.117,0.001,1
ExtraTrees,Sig_Commodity,20,5,0.8504,60.4457,79.5051,0.9229,49.43,1.6338,54.01,0.8533,0.34,0.0029,2
ExtraTrees,Sig_All,20,5,0.8511,60.5023,79.5449,0.9229,48.09,1.6354,53.28,0.8533,0.258,0.0022,4
ExtraTrees,All_Macro,20,5,0.8582,61.0007,80.1181,0.9217,46.95,1.6488,51.82,0.8533,-0.574,-0.0049,5
ExtraTrees,All_Commodity_Regional,20,5,0.8527,60.6126,79.6803,0.9226,48.28,1.6384,53.28,0.8533,0.07,0.0006,6
ExtraTrees,All_Covariates,20,5,0.8542,60.7175,79.8315,0.9223,48.09,1.6412,54.01,0.8533,-0.105,-0.0009,7
ExtraTrees,Baseline,120,5,0.8528,60.6222,79.7349,0.9225,48.28,1.6386,52.55,0.8528,0.0,0.0,0
ExtraTrees,Sig_Macro,120,5,0.8529,60.6216,79.7871,0.9224,47.9,1.6386,50.36,0.8528,-0.012,-0.0001,1
ExtraTrees,Sig_Commodity,120,5,0.8534,60.6592,79.7695,0.9224,48.47,1.6396,53.28,0.8528,-0.07,-0.0006,2
ExtraTrees,Sig_All,120,5,0.8536,60.6768,79.7139,0.9225,48.09,1.6401,52.55,0.8528,-0.094,-0.0008,4
ExtraTrees,All_Macro,120,5,0.8562,60.8594,79.9543,0.9221,48.09,1.645,54.01,0.8528,-0.399,-0.0034,5
ExtraTrees,All_Commodity_Regional,120,5,0.8511,60.4956,79.4601,0.923,48.66,1.6352,53.28,0.8528,0.199,0.0017,6
ExtraTrees,All_Covariates,120,5,0.855,60.7734,79.9122,0.9221,48.09,1.6427,51.82,0.8528,-0.258,-0.0022,7
LightGBM,Baseline,20,5,0.8531,60.6346,79.6521,0.9226,48.28,1.6389,51.09,0.8531,0.0,0.0,0
LightGBM,Sig_Macro,20,5,0.8458,60.1175,79.3686,0.9232,48.28,1.625,54.01,0.8531,0.856,0.0073,1
LightGBM,Sig_Commodity,20,5,0.8365,59.4387,78.7038,0.9245,47.71,1.6066,55.47,0.8531,1.946,0.0166,2
LightGBM,Sig_All,20,5,0.8313,59.0691,78.3887,0.9251,48.09,1.5966,55.47,0.8531,2.555,0.0218,4
LightGBM,All_Macro,20,5,0.8494,60.3779,79.6351,0.9227,47.52,1.632,51.09,0.8531,0.434,0.0037,5
LightGBM,All_Commodity_Regional,20,5,0.8274,58.8277,78.1938,0.9255,46.76,1.5901,55.47,0.8531,3.013,0.0257,6
LightGBM,All_Covariates,20,5,0.8256,58.6917,78.0862,0.9257,46.95,1.5864,55.47,0.8531,3.224,0.0275,7
LightGBM,Baseline,120,5,0.8514,60.5001,79.6434,0.9227,47.52,1.6353,54.74,0.8514,0.0,0.0,0
LightGBM,Sig_Macro,120,5,0.8544,60.7499,79.8939,0.9222,48.09,1.6421,54.74,0.8514,-0.352,-0.003,1
LightGBM,Sig_Commodity,120,5,0.8344,59.2683,79.0976,0.9237,49.05,1.602,56.93,0.8514,1.997,0.017,2
LightGBM,Sig_All,120,5,0.8384,59.558,78.4805,0.9249,48.47,1.6098,56.93,0.8514,1.527,0.013,4
LightGBM,All_Macro,120,5,0.865,61.5039,80.7713,0.9205,46.76,1.6624,51.82,0.8514,-1.597,-0.0136,5
LightGBM,All_Commodity_Regional,120,5,0.8269,58.8328,78.399,0.9251,48.28,1.5902,56.93,0.8514,2.878,0.0245,6
LightGBM,All_Covariates,120,5,0.8302,59.0591,78.5009,0.9249,49.24,1.5964,63.5,0.8514,2.49,0.0212,7
RandomForest,Baseline,20,5,0.8522,60.5674,79.7912,0.9224,47.52,1.6371,51.09,0.8522,0.0,0.0,0
RandomForest,Sig_Macro,20,5,0.8561,60.8468,80.1278,0.9217,48.66,1.6447,51.82,0.8522,-0.458,-0.0039,1
RandomForest,Sig_Commodity,20,5,0.8518,60.5434,79.6096,0.9227,48.09,1.6365,53.28,0.8522,0.047,0.0004,2
RandomForest,Sig_All,20,5,0.8542,60.7186,80.0219,0.9219,49.24,1.6412,52.55,0.8522,-0.235,-0.002,4
RandomForest,All_Macro,20,5,0.8728,61.9908,81.3887,0.9192,48.47,1.6756,50.36,0.8522,-2.417,-0.0206,5
RandomForest,All_Commodity_Regional,20,5,0.8521,60.5684,79.7951,0.9224,48.47,1.6372,52.55,0.8522,0.012,0.0001,6
