Model,Covariates,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,RMSE_std,R2_mean,DA_mean,DA_std
RandomForest,Coal,120,1,0.6633,0.1658,40.5543,55.3121,9.5051,0.9689,50.43,1.1
RandomForest,Coal,120,5,1.091,0.3436,65.6519,95.4098,22.8012,0.9162,50.49,2.46
RandomForest,Coal,120,20,2.1072,0.6028,126.4772,191.2299,49.0953,0.6725,49.87,1.91
RandomForest,Copper,20,1,0.6606,0.1648,40.3854,55.3256,9.5953,0.969,52.21,1.47
RandomForest,Copper,20,5,1.0871,0.3428,65.3864,95.4543,23.1329,0.9161,50.85,2.6
RandomForest,Copper,20,20,2.1026,0.6018,126.2959,191.2307,48.0634,0.6702,49.66,2.03
RandomForest,Copper,120,1,0.6627,0.167,40.5103,55.2634,9.5355,0.9691,50.99,2.31
RandomForest,Copper,120,5,1.0893,0.3452,65.5114,95.2822,22.8362,0.9161,50.28,2.37
RandomForest,Copper,120,20,2.1074,0.602,126.4447,191.7018,48.5136,0.669,49.87,2.3
RandomForest,Nickel,20,1,0.6618,0.1653,40.4625,55.3983,9.7822,0.9691,51.96,2.75
RandomForest,Nickel,20,5,1.094,0.3476,65.7868,95.9051,23.4621,0.9158,50.33,2.22
RandomForest,Nickel,20,20,2.0983,0.5903,126.0162,191.1287,47.8931,0.6691,50.13,1.64
RandomForest,Nickel,120,1,0.6639,0.166,40.5863,55.419,9.4745,0.9688,49.21,1.5
RandomForest,Nickel,120,5,1.0913,0.338,65.7271,95.2707,22.3757,0.9157,50.54,2.28
RandomForest,Nickel,120,20,2.151,0.5779,129.543,195.0971,47.3211,0.6558,49.87,2.41
RandomForest,Silver,20,1,0.6588,0.1649,40.2801,55.2407,9.708,0.9692,53.74,3.0
RandomForest,Silver,20,5,1.0849,0.3409,65.2526,95.2613,22.9316,0.9163,51.11,2.34
RandomForest,Silver,20,20,2.0876,0.5954,125.4269,190.3622,47.9758,0.6719,49.92,1.91
RandomForest,Silver,120,1,0.6623,0.1687,40.475,55.2684,9.6411,0.9691,51.65,3.58
RandomForest,Silver,120,5,1.0919,0.35,65.6788,95.3562,23.0227,0.9162,50.13,3.28
RandomForest,Silver,120,20,2.1004,0.6065,126.0711,191.6999,49.1068,0.6694,50.13,1.68
RandomForest,Tin,20,1,0.661,0.1649,40.4033,55.6026,9.7533,0.9689,52.21,1.77
RandomForest,Tin,20,5,1.0962,0.3446,65.9282,96.9474,22.78,0.9133,50.69,1.79
RandomForest,Tin,20,20,2.1086,0.5815,126.8115,192.8607,46.738,0.6578,49.55,2.15
RandomForest,Tin,120,1,0.6623,0.1654,40.5011,55.4436,9.367,0.9685,50.48,1.73
RandomForest,Tin,120,5,1.0911,0.3415,65.6603,95.9943,21.961,0.9129,49.92,2.79
RandomForest,Tin,120,20,2.1068,0.5993,126.5458,191.398,49.0017,0.6786,49.87,1.87
RandomForest,Gold,20,1,0.6602,0.1654,40.3465,55.3144,9.7098,0.9691,51.65,1.28
RandomForest,Gold,20,5,1.088,0.3431,65.4387,95.5882,23.2494,0.916,50.69,2.47
RandomForest,Gold,20,20,2.0968,0.6039,125.8927,190.9531,48.4833,0.6711,49.66,1.85
RandomForest,Gold,120,1,0.6617,0.1673,40.4364,55.2469,9.6037,0.9691,51.15,3.27
RandomForest,Gold,120,5,1.0825,0.3397,65.1407,95.0371,22.6727,0.9165,50.59,2.43
RandomForest,Gold,120,20,2.0979,0.5958,125.926,191.5364,48.4384,0.6672,50.13,1.8
RandomForest,WTI,20,1,0.6605,0.1666,40.3631,55.2989,9.6711,0.9692,52.06,1.61
RandomForest,WTI,20,5,1.0913,0.3429,65.6333,96.0376,23.3644,0.9158,50.75,2.37
RandomForest,WTI,20,20,2.0907,0.5904,125.6043,190.4354,47.5401,0.6713,49.92,1.88
RandomForest,WTI,120,1,0.6619,0.168,40.4435,55.2841,9.6317,0.9691,51.15,3.02
RandomForest,WTI,120,5,1.0894,0.3433,65.5448,95.3599,22.7769,0.9161,50.54,2.71
RandomForest,WTI,120,20,2.1009,0.5992,126.0634,191.5706,48.382,0.668,49.82,1.97
RandomForest,STI,20,1,0.6604,0.1635,40.3729,55.473,9.6784,0.9689,53.23,2.31
RandomForest,STI,20,5,1.0832,0.3368,65.2038,95.1655,22.7085,0.9162,50.85,2.46
RandomForest,STI,20,20,2.0922,0.5946,125.7122,190.3691,47.6389,0.6713,50.03,1.87
RandomForest,STI,120,1,0.6627,0.1672,40.4871,55.4627,9.7094,0.9689,52.21,1.57
RandomForest,STI,120,5,1.0857,0.3411,65.3305,95.1012,22.583,0.9162,50.33,2.76
RandomForest,STI,120,20,2.0996,0.5997,125.9958,191.1324,48.104,0.6696,50.29,2.05
ExtraTrees,None,20,1,0.6608,0.1652,40.3831,55.2859,9.5371,0.969,51.81,1.32
ExtraTrees,None,20,5,1.0892,0.3455,65.5086,95.373,23.1077,0.9163,51.11,2.24
ExtraTrees,None,20,20,2.1004,0.6008,126.1396,191.257,48.5179,0.6706,49.82,1.88
ExtraTrees,None,120,1,0.6599,0.1645,40.3513,55.1471,9.414,0.9691,52.57,1.18
ExtraTrees,None,120,5,1.0869,0.3435,65.3837,95.0715,22.7529,0.9165,50.75,2.56
ExtraTrees,None,120,20,2.1053,0.6011,126.2727,191.6892,48.6804,0.6693,50.24,1.74
ExtraTrees,BI_Rate,20,1,0.6599,0.1639,40.348,55.1891,9.4404,0.969,52.42,1.02
ExtraTrees,BI_Rate,20,5,1.0876,0.343,65.428,95.2758,22.9791,0.9164,50.9,2.33
ExtraTrees,BI_Rate,20,20,2.101,0.5998,126.166,191.4353,48.5377,0.6704,49.82,1.78
ExtraTrees,BI_Rate,120,1,0.6593,0.1636,40.327,55.1125,9.3967,0.9691,51.15,2.37
ExtraTrees,BI_Rate,120,5,1.0843,0.3398,65.266,94.9419,22.5234,0.9165,50.59,2.77
