Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large
RandomForest,Copper,120,1,0.5058,35.9521,48.0497,0.9717,51.71,0.9718,52.55
RandomForest,Copper,120,5,0.8525,60.5908,79.8677,0.9222,47.9,1.6378,51.82
RandomForest,Copper,120,20,1.3907,99.2984,143.1995,0.7522,49.33,2.684,52.94
RandomForest,Nickel,20,1,0.5101,36.2588,48.2646,0.9715,48.29,0.9801,44.53
RandomForest,Nickel,20,5,0.8523,60.577,79.8041,0.9223,47.71,1.6374,51.82
RandomForest,Nickel,20,20,1.3923,99.4332,143.126,0.7524,49.9,2.6877,54.41
RandomForest,Nickel,120,1,0.5098,36.2343,48.2293,0.9715,49.05,0.9794,48.91
RandomForest,Nickel,120,5,0.8524,60.5796,79.8628,0.9222,47.9,1.6375,51.82
RandomForest,Nickel,120,20,1.388,99.1021,142.5513,0.7544,49.52,2.6787,52.94
RandomForest,Silver,20,1,0.5047,35.8752,47.8832,0.9719,53.61,0.9697,52.55
RandomForest,Silver,20,5,0.851,60.4928,79.6472,0.9227,47.71,1.6351,52.55
RandomForest,Silver,20,20,1.3935,99.508,143.097,0.7525,49.71,2.6897,54.41
RandomForest,Silver,120,1,0.5055,35.9339,47.9376,0.9719,54.18,0.9713,53.28
RandomForest,Silver,120,5,0.8525,60.5885,79.7576,0.9224,47.52,1.6377,51.82
RandomForest,Silver,120,20,1.3869,99.0309,141.7658,0.7571,49.52,2.6768,53.68
RandomForest,Tin,20,1,0.5074,36.0677,48.154,0.9716,50.76,0.9749,43.8
RandomForest,Tin,20,5,0.8525,60.5934,79.8194,0.9223,47.52,1.6378,51.82
RandomForest,Tin,20,20,1.3923,99.444,143.302,0.7518,49.71,2.688,54.41
RandomForest,Tin,120,1,0.507,36.0438,48.1059,0.9717,50.57,0.9743,42.34
RandomForest,Tin,120,5,0.8528,60.6153,79.9261,0.9221,47.9,1.6384,51.82
RandomForest,Tin,120,20,1.4006,100.0375,143.2848,0.7519,49.52,2.704,53.68
RandomForest,Gold,20,1,0.5082,36.1239,48.116,0.9717,51.71,0.9764,44.53
RandomForest,Gold,20,5,0.8507,60.4645,79.54,0.9229,48.28,1.6344,52.55
RandomForest,Gold,20,20,1.4031,100.1777,143.8007,0.7501,50.1,2.7078,54.41
RandomForest,Gold,120,1,0.5079,36.1014,48.1219,0.9717,51.9,0.9758,43.07
RandomForest,Gold,120,5,0.8511,60.4913,79.6884,0.9226,48.66,1.6351,53.28
RandomForest,Gold,120,20,1.401,100.0071,143.518,0.7511,49.33,2.7032,52.94
RandomForest,WTI,20,1,0.5053,35.92,47.9957,0.9718,53.61,0.9709,51.09
RandomForest,WTI,20,5,0.852,60.5558,79.7528,0.9224,47.52,1.6368,51.82
RandomForest,WTI,20,20,1.3899,99.2525,142.7912,0.7536,49.52,2.6828,54.41
RandomForest,WTI,120,1,0.5051,35.9054,47.9925,0.9718,53.23,0.9705,53.28
RandomForest,WTI,120,5,0.852,60.5548,79.7975,0.9224,47.9,1.6368,51.82
RandomForest,WTI,120,20,1.3845,98.8259,141.9968,0.7563,49.52,2.6713,52.94
RandomForest,STI,20,1,0.5079,36.1126,48.2314,0.9715,52.28,0.9761,44.53
RandomForest,STI,20,5,0.8538,60.6886,80.1118,0.9217,47.9,1.6404,51.82
RandomForest,STI,20,20,1.4057,100.4429,145.5055,0.7441,49.9,2.715,54.41
RandomForest,STI,120,1,0.5077,36.0922,48.1994,0.9716,52.66,0.9756,45.26
RandomForest,STI,120,5,0.8544,60.7258,80.2788,0.9214,48.28,1.6414,51.82
RandomForest,STI,120,20,1.4042,100.3101,145.5086,0.7441,49.71,2.7114,53.68
ExtraTrees,None,20,1,0.5053,35.9237,47.9365,0.9719,53.61,0.971,45.26
ExtraTrees,None,20,5,0.8533,60.6595,79.7646,0.9224,47.71,1.6396,51.09
ExtraTrees,None,20,20,1.385,98.8868,141.3147,0.7587,48.75,2.6729,53.68
ExtraTrees,None,120,1,0.5058,35.9609,47.9527,0.9719,52.28,0.972,45.99
ExtraTrees,None,120,5,0.8528,60.6222,79.7349,0.9225,48.28,1.6386,52.55
ExtraTrees,None,120,20,1.3843,98.8245,141.2957,0.7587,49.33,2.6712,54.41
ExtraTrees,BI_Rate,20,1,0.505,35.8971,47.9194,0.9719,53.99,0.9703,45.99
ExtraTrees,BI_Rate,20,5,0.8523,60.5824,79.7174,0.9225,48.09,1.6375,51.09
ExtraTrees,BI_Rate,20,20,1.3875,99.0673,141.7084,0.7573,48.94,2.6778,53.68
ExtraTrees,BI_Rate,120,1,0.5052,35.9184,47.9021,0.9719,55.13,0.9709,51.09
ExtraTrees,BI_Rate,120,5,0.8517,60.5398,79.6797,0.9226,48.28,1.6364,51.82
ExtraTrees,BI_Rate,120,20,1.3842,98.8144,141.3857,0.7584,49.33,2.6709,54.41
ExtraTrees,CPI,20,1,0.5056,35.9446,47.9112,0.9719,53.23,0.9716,48.91
ExtraTrees,CPI,20,5,0.8529,60.634,79.7478,0.9225,48.28,1.6389,52.55
ExtraTrees,CPI,20,20,1.3844,98.8353,141.1841,0.7591,48.94,2.6715,53.68
ExtraTrees,CPI,120,1,0.505,35.9005,47.8941,0.9719,54.37,0.9704,52.55
ExtraTrees,CPI,120,5,0.852,60.5698,79.7282,0.9225,48.28,1.6372,52.55
ExtraTrees,CPI,120,20,1.395,99.5731,141.9029,0.7567,49.33,2.6915,54.41
ExtraTrees,M2,20,1,0.5056,35.9473,47.9235,0.9719,52.09,0.9717,48.91
ExtraTrees,M2,20,5,0.8532,60.6527,79.771,0.9224,47.52,1.6394,51.82
ExtraTrees,M2,20,20,1.3881,99.1144,141.7585,0.7572,48.94,2.6791,53.68
ExtraTrees,M2,120,1,0.5058,35.9606,47.9179,0.9719,52.47,0.972,51.09
ExtraTrees,M2,120,5,0.8526,60.6069,79.7709,0.9224,48.09,1.6382,51.82
ExtraTrees,M2,120,20,1.3813,98.6173,141.2455,0.7589,49.71,2.6656,54.41
ExtraTrees,NPL_Ratio,20,1,0.5055,35.9325,47.9019,0.9719,52.28,0.9713,48.91
ExtraTrees,NPL_Ratio,20,5,0.8524,60.5954,79.6518,0.9226,47.9,1.6379,52.55
ExtraTrees,NPL_Ratio,20,20,1.3866,99.0042,141.5365,0.7579,48.75,2.6761,53.68
ExtraTrees,NPL_Ratio,120,1,0.5061,35.9799,47.9289,0.9719,52.09,0.9725,49.64
ExtraTrees,NPL_Ratio,120,5,0.8548,60.7628,79.8761,0.9222,47.14,1.6424,52.55
ExtraTrees,NPL_Ratio,120,20,1.3766,98.2651,140.6264,0.761,49.52,2.6561,54.41
ExtraTrees,USDIDR,20,1,0.505,35.901,47.8962,0.9719,52.66,0.9704,47.45
ExtraTrees,USDIDR,20,5,0.8535,60.6702,79.8002,0.9224,48.09,1.6399,51.82
ExtraTrees,USDIDR,20,20,1.3878,99.0926,141.6715,0.7574,48.55,2.6785,53.68
ExtraTrees,USDIDR,120,1,0.5055,35.9352,47.905,0.9719,53.42,0.9713,47.45
ExtraTrees,USDIDR,120,5,0.8511,60.4902,79.5536,0.9228,48.28,1.635,52.55
ExtraTrees,USDIDR,120,20,1.3833,98.7589,141.5658,0.7578,49.33,2.6694,54.41
ExtraTrees,GDP,20,1,0.505,35.8971,47.9153,0.9719,53.42,0.9703,44.53
ExtraTrees,GDP,20,5,0.8523,60.587,79.6496,0.9226,48.09,1.6377,51.82
ExtraTrees,GDP,20,20,1.3871,99.0358,141.5071,0.758,48.94,2.6769,53.68
ExtraTrees,GDP,120,1,0.5063,35.9947,47.9616,0.9718,52.85,0.9729,47.45
ExtraTrees,GDP,120,5,0.8521,60.5657,79.6703,0.9226,48.47,1.6371,52.55
ExtraTrees,GDP,120,20,1.385,98.8618,141.492,0.7581,49.13,2.6722,54.41
ExtraTrees,US_Treasury_10Y,20,1,0.5071,36.0468,48.0235,0.9718,51.71,0.9743,48.18
ExtraTrees,US_Treasury_10Y,20,5,0.8593,61.064,80.1834,0.9216,47.14,1.6506,51.09
ExtraTrees,US_Treasury_10Y,20,20,1.4071,100.4578,144.3807,0.7481,48.55,2.7154,52.21
ExtraTrees,US_Treasury_10Y,120,1,0.5071,36.0528,48.0558,0.9717,49.81,0.9745,47.45
ExtraTrees,US_Treasury_10Y,120,5,0.8561,60.8446,80.0358,0.9219,47.9,1.6446,52.55
ExtraTrees,US_Treasury_10Y,120,20,1.3967,99.7049,143.1346,0.7524,49.13,2.695,53.68
ExtraTrees,Coal,20,1,0.505,35.8996,47.8821,0.9719,52.66,0.9704,45.99
ExtraTrees,Coal,20,5,0.8519,60.5565,79.6044,0.9227,48.09,1.6368,52.55
ExtraTrees,Coal,20,20,1.3854,98.9237,141.4542,0.7582,48.75,2.6739,53.68
ExtraTrees,Coal,120,1,0.5054,35.9281,47.8991,0.9719,52.47,0.9711,46.72
ExtraTrees,Coal,120,5,0.8528,60.6159,79.7361,0.9225,47.71,1.6384,52.55
ExtraTrees,Coal,120,20,1.3853,98.8938,141.4915,0.7581,49.33,2.6731,53.68
ExtraTrees,Copper,20,1,0.5049,35.8939,47.8582,0.972,52.85,0.9702,50.36
ExtraTrees,Copper,20,5,0.8518,60.548,79.615,0.9227,49.05,1.6366,55.47
ExtraTrees,Copper,20,20,1.3843,98.8527,141.5457,0.7579,49.13,2.672,55.15
ExtraTrees,Copper,120,1,0.5054,35.9284,47.9121,0.9719,53.23,0.9711,46.72
ExtraTrees,Copper,120,5,0.853,60.6294,79.8056,0.9223,48.66,1.6388,54.01
ExtraTrees,Copper,120,20,1.3863,98.9788,141.9233,0.7566,49.33,2.6754,54.41
ExtraTrees,Nickel,20,1,0.5054,35.9244,47.9146,0.9719,53.42,0.971,46.72
ExtraTrees,Nickel,20,5,0.852,60.5646,79.5874,0.9228,48.09,1.6371,51.09
ExtraTrees,Nickel,20,20,1.3871,99.0387,141.6776,0.7574,49.13,2.677,53.68
ExtraTrees,Nickel,120,1,0.506,35.9712,47.9098,0.9719,50.95,0.9723,47.45
ExtraTrees,Nickel,120,5,0.8532,60.643,79.7506,0.9225,47.71,1.6392,52.55
ExtraTrees,Nickel,120,20,1.3851,98.879,141.5458,0.7579,48.94,2.6727,53.68
ExtraTrees,Silver,20,1,0.5051,35.9035,47.8568,0.972,56.27,0.9705,53.28
ExtraTrees,Silver,20,5,0.8497,60.3935,79.4193,0.9231,49.43,1.6324,56.93
