feature,importance,covariate_set,scenario
NPL_Ratio_lag_99,0.002207209432003838,Macro_Regional,W120_H1
CPI_lag_29,0.0021945279670092825,Macro_Regional,W120_H1
USDIDR_lag_99,0.002191275113792346,Macro_Regional,W120_H1
IHSG_lag_64,0.0021758388048596818,Macro_Regional,W120_H1
BI_Rate_lag_45,0.0021731492090505777,Macro_Regional,W120_H1
USDIDR_lag_69,0.0021698582164581823,Macro_Regional,W120_H1
IHSG_lag_72,0.002159670060295231,Macro_Regional,W120_H1
USDIDR_lag_18,0.0021400972588027597,Macro_Regional,W120_H1
STI_lag_109,0.00211205982270607,Macro_Regional,W120_H1
STI_lag_3,0.002111085471173746,Macro_Regional,W120_H1
STI_lag_1,0.0021055612463173816,Macro_Regional,W120_H1
M2_lag_6,0.00210007786834454,Macro_Regional,W120_H1
CPI_lag_3,0.00209631369794451,Macro_Regional,W120_H1
M2_lag_57,0.00209575259387317,Macro_Regional,W120_H1
IHSG_lag_87,0.0020683754373610574,Macro_Regional,W120_H1
BI_Rate_lag_56,0.002055001759913677,Macro_Regional,W120_H1
CPI_lag_114,0.0020536040784738356,Macro_Regional,W120_H1
USDIDR_lag_38,0.0020427092904603977,Macro_Regional,W120_H1
STI_lag_7,0.0020137669220345556,Macro_Regional,W120_H1
IHSG_lag_5,0.0020115065009585096,Macro_Regional,W120_H1
M2_lag_104,0.0019982367188092903,Macro_Regional,W120_H1
CPI_lag_92,0.00199370636650309,Macro_Regional,W120_H1
USDIDR_lag_20,0.001968010844655968,Macro_Regional,W120_H1
USDIDR_lag_93,0.001961324190553929,Macro_Regional,W120_H1
M2_lag_63,0.0019572094844123923,Macro_Regional,W120_H1
USDIDR_lag_59,0.0019393410738540752,Macro_Regional,W120_H1
IHSG_lag_79,0.0019267984748160452,Macro_Regional,W120_H1
IHSG_lag_84,0.0019195224168175999,Macro_Regional,W120_H1
USDIDR_lag_62,0.001918410042018501,Macro_Regional,W120_H1
IHSG_lag_85,0.0019176586218106028,Macro_Regional,W120_H1
STI_lag_61,0.0018798045646203428,Macro_Regional,W120_H1
NPL_Ratio_lag_53,0.0018754081154539002,Macro_Regional,W120_H1
M2_lag_69,0.0018732780530154734,Macro_Regional,W120_H1
USDIDR_lag_44,0.0018716037988597543,Macro_Regional,W120_H1
IHSG_lag_50,0.0018710594816157221,Macro_Regional,W120_H1
STI_lag_33,0.001859081504700911,Macro_Regional,W120_H1
NPL_Ratio_lag_55,0.0018572830476620463,Macro_Regional,W120_H1
IHSG_lag_90,0.0018427688296030226,Macro_Regional,W120_H1
IHSG_lag_59,0.001833542334539226,Macro_Regional,W120_H1
BI_Rate_lag_51,0.0018284441989823944,Macro_Regional,W120_H1
M2_lag_56,0.0018158073586709712,Macro_Regional,W120_H1
STI_lag_112,0.0018134309687664468,Macro_Regional,W120_H1
STI_lag_2,0.0017948745932414556,Macro_Regional,W120_H1
BI_Rate_lag_62,0.0017922949484484069,Macro_Regional,W120_H1
NPL_Ratio_lag_75,0.0017483512193833127,Macro_Regional,W120_H1
STI_lag_20,0.0017470994794141948,Macro_Regional,W120_H1
USDIDR_lag_116,0.0017422292257641549,Macro_Regional,W120_H1
CPI_lag_14,0.0017331248808327992,Macro_Regional,W120_H1
IHSG_lag_105,0.0017235438931426136,Macro_Regional,W120_H1
STI_lag_14,0.0017008523364116055,Macro_Regional,W120_H1
NPL_Ratio_lag_57,0.0016976251923732986,Macro_Regional,W120_H1
NPL_Ratio_lag_58,0.0016967921955304732,Macro_Regional,W120_H1
IHSG_lag_57,0.0016927934796174507,Macro_Regional,W120_H1
BI_Rate_lag_15,0.0016797198866959056,Macro_Regional,W120_H1
IHSG_lag_14,0.0016670617008049046,Macro_Regional,W120_H1
USDIDR_lag_86,0.0016640940172423456,Macro_Regional,W120_H1
IHSG_lag_93,0.001639003244530519,Macro_Regional,W120_H1
CPI_lag_109,0.0016323143308636435,Macro_Regional,W120_H1
IHSG_lag_49,0.0016315864216346365,Macro_Regional,W120_H1
IHSG_lag_36,0.0016224783348204805,Macro_Regional,W120_H1
IHSG_lag_60,0.0016167776819799927,Macro_Regional,W120_H1
BI_Rate_lag_63,0.00161630428520703,Macro_Regional,W120_H1
CPI_lag_55,0.0016016969950080687,Macro_Regional,W120_H1
BI_Rate_lag_86,0.0016008327144770706,Macro_Regional,W120_H1
