Date,Price
9/26/2024,32435
9/25/2024,32102
9/24/2024,32689
9/23/2024,32295
9/20/2024,32127
9/19/2024,31823
9/18/2024,31594
9/17/2024,31855
9/16/2024,31929
9/13/2024,31805
9/12/2024,31406
9/11/2024,30944
9/10/2024,30550
9/9/2024,30818
9/6/2024,31024
9/5/2024,30771
9/4/2024,30499
9/3/2024,30745
9/2/2024,31384
8/30/2024,32346
8/29/2024,32345
8/28/2024,32605
8/27/2024,33244
8/23/2024,32912
8/22/2024,32316
8/21/2024,32695
8/20/2024,32276
8/19/2024,32575
8/16/2024,31903
8/15/2024,31968
8/14/2024,31430
8/13/2024,31199
8/12/2024,31568
8/9/2024,31304
8/8/2024,30494
8/7/2024,29991
8/6/2024,29651
8/5/2024,29484
8/2/2024,30188
8/1/2024,29894
7/31/2024,30056
7/30/2024,28779
7/29/2024,29296
7/26/2024,29571
7/25/2024,29416
7/24/2024,29790
7/23/2024,29418
7/22/2024,29888
7/19/2024,31050
7/18/2024,31604
7/17/2024,32950
7/16/2024,33171
7/15/2024,33246
7/12/2024,33695
7/11/2024,34666
7/10/2024,35007
7/9/2024,34350
7/8/2024,34218
7/5/2024,33874
7/4/2024,33158
7/3/2024,33363
7/2/2024,32922
7/1/2024,32900
6/28/2024,32739
6/27/2024,32208
6/26/2024,32012
6/25/2024,32251
6/24/2024,32746
6/21/2024,32671
6/20/2024,33086
6/19/2024,32384
6/18/2024,32144
6/17/2024,32148
6/14/2024,32318
6/13/2024,32794
6/12/2024,33365
6/11/2024,31913
6/10/2024,32001
6/7/2024,31452
6/6/2024,32198
6/5/2024,31321
6/4/2024,31932
6/3/2024,32350
5/31/2024,33042
5/30/2024,33111
5/29/2024,34109
5/28/2024,33928
5/24/2024,33229
5/23/2024,33451
5/22/2024,33510
5/21/2024,34324
5/20/2024,34468
5/17/2024,34251
5/16/2024,33729
5/15/2024,33410
5/14/2024,33366
5/13/2024,32918
5/10/2024,32093
5/9/2024,32584
5/8/2024,31999
5/7/2024,32593
5/3/2024,31983
5/2/2024,30970
5/1/2024,30603
4/30/2024,31216
4/29/2024,32566
4/26/2024,32411
4/25/2024,32872
4/24/2024,31836
4/23/2024,31938
4/22/2024,34478
4/19/2024,35582
4/18/2024,33979
4/17/2024,32775
4/16/2024,31820
4/15/2024,32230
4/12/2024,32353
4/11/2024,31689
4/10/2024,32007
4/9/2024,31159
4/8/2024,29848
4/5/2024,28795
4/4/2024,28643
4/3/2024,28395
4/2/2024,27897
3/28/2024,27451
3/27/2024,27524
3/26/2024,27446
3/25/2024,27580
3/22/2024,27727
3/21/2024,27872
3/20/2024,27230
3/19/2024,27445
3/18/2024,28700
3/15/2024,28674
3/14/2024,28258
3/13/2024,28065
3/12/2024,27520
3/11/2024,27634
3/8/2024,27630
3/7/2024,27607
3/6/2024,27192
3/5/2024,26824
3/4/2024,26833
3/1/2024,26489
2/29/2024,26556
2/28/2024,26561
2/27/2024,26360
2/26/2024,26076
2/23/2024,26382
2/22/2024,26170
2/21/2024,26296
2/20/2024,26421
2/19/2024,26434
2/16/2024,26970
2/15/2024,27293
2/14/2024,27465
2/13/2024,27571
2/12/2024,27299
2/9/2024,26367
2/8/2024,25895
2/7/2024,25487
2/6/2024,25187
2/5/2024,24836
2/2/2024,25550
2/1/2024,25803
1/31/2024,26233
1/30/2024,26005
1/29/2024,26329
1/26/2024,26664
1/25/2024,26648
1/24/2024,26509
1/23/2024,26239
1/22/2024,25617
1/19/2024,25298
1/18/2024,25357
1/17/2024,25233
1/16/2024,25175
1/15/2024,24781
1/12/2024,24631
1/11/2024,24554
1/10/2024,24435
1/9/2024,24240
1/8/2024,24500
1/5/2024,24622
1/4/2024,24834
1/3/2024,25294
1/2/2024,25184
12/29/2023,25415
12/28/2023,25680
12/27/2023,25644
12/22/2023,24866
12/21/2023,25153
12/20/2023,25203
12/19/2023,25137
12/18/2023,24820
12/15/2023,25175
12/14/2023,25367
12/13/2023,24690
12/12/2023,24580
12/11/2023,24359
12/8/2023,24567
12/7/2023,24675
12/6/2023,24585
12/5/2023,23991
12/4/2023,24064
12/1/2023,23748
11/30/2023,23246
11/29/2023,23501
11/28/2023,23322
11/27/2023,22979
11/24/2023,23884
11/23/2023,24476
11/22/2023,24663
11/21/2023,24991
11/20/2023,24878
11/17/2023,24852
11/16/2023,25193
11/15/2023,25326
11/14/2023,25206
11/13/2023,24923
11/10/2023,24603
11/9/2023,24839
11/8/2023,24892
11/7/2023,24559
11/6/2023,24665
11/3/2023,24356
11/2/2023,23962
11/1/2023,23908
10/31/2023,24079
10/30/2023,25014
10/27/2023,24902
10/26/2023,24801
10/25/2023,25211
10/24/2023,25091
10/23/2023,24890
10/20/2023,24985
10/19/2023,25205
10/18/2023,25548
10/17/2023,25370
10/16/2023,25242
10/13/2023,25087
10/12/2023,24812
10/11/2023,24919
10/10/2023,24714
10/9/2023,25140
10/6/2023,24644
10/5/2023,24139
10/4/2023,23926
10/3/2023,23854
10/2/2023,23496
9/29/2023,23944
9/28/2023,25324
9/27/2023,25650
9/26/2023,26012
9/25/2023,25888
9/22/2023,26251
9/21/2023,25613
9/20/2023,26132
9/19/2023,26106
9/18/2023,26183
9/15/2023,25703
9/14/2023,25895
9/13/2023,25688
9/12/2023,25524
9/11/2023,25803
9/8/2023,25573
9/7/2023,26085
9/6/2023,26270
9/5/2023,26445
9/4/2023,26372
9/1/2023,25806
8/31/2023,25396
8/30/2023,25475
8/29/2023,25395
8/25/2023,25497
8/24/2023,25870
8/23/2023,26125
8/22/2023,26112
8/21/2023,25702
8/18/2023,25260
8/17/2023,25305
8/16/2023,25066
8/15/2023,25186
8/14/2023,25325
8/11/2023,26457
8/10/2023,26885
8/9/2023,27259
8/8/2023,27300
8/7/2023,27756
8/4/2023,27700
8/3/2023,28023
8/2/2023,27418
8/1/2023,27724
7/31/2023,28637
7/28/2023,28740
7/27/2023,28680
7/26/2023,29010
7/25/2023,28899
7/24/2023,28601
7/21/2023,28494
7/20/2023,28715
7/19/2023,28114
7/18/2023,28540
7/17/2023,28363
7/14/2023,28543
7/13/2023,28809
7/12/2023,29069
7/11/2023,27956
7/10/2023,27950
7/7/2023,28342
7/6/2023,28530
7/5/2023,27633
7/4/2023,27320
7/3/2023,27377
6/30/2023,26787
6/29/2023,26098
6/28/2023,26047
6/27/2023,26283
6/26/2023,25635
6/23/2023,26476
6/22/2023,27079
6/21/2023,27311
6/20/2023,26847
6/19/2023,26900
6/16/2023,26951
6/15/2023,27225
6/14/2023,26762
6/13/2023,26065
6/12/2023,25901
6/9/2023,26502
6/8/2023,25817
6/7/2023,25650
6/6/2023,25618
6/5/2023,25565
6/2/2023,25651
6/1/2023,25437
5/31/2023,25454
5/30/2023,25561
5/26/2023,24846
5/25/2023,24607
5/24/2023,23965
5/23/2023,24320
5/22/2023,24950
5/19/2023,25451
5/18/2023,25014
5/17/2023,24802
5/16/2023,24524
5/15/2023,24994
5/12/2023,24836
5/11/2023,25308
5/10/2023,25846
5/9/2023,25995
5/5/2023,26064
5/4/2023,25600
5/3/2023,26777
5/2/2023,26491
4/28/2023,26088
4/27/2023,25883
4/26/2023,25754
4/25/2023,25584
4/24/2023,26646
4/21/2023,26594
4/20/2023,26940
4/19/2023,27082
4/18/2023,27843
4/17/2023,27367
4/14/2023,24853
4/13/2023,24442
4/12/2023,24022
4/11/2023,23733
4/6/2023,24308
4/5/2023,24247
4/4/2023,24995
4/3/2023,26040
3/31/2023,25835
3/30/2023,25916
3/29/2023,25814
3/28/2023,25770
3/27/2023,25421
3/24/2023,24830
3/23/2023,24348
3/22/2023,23395
3/21/2023,23039
3/20/2023,22750
3/17/2023,22510
3/16/2023,22218
3/15/2023,22464
3/14/2023,22950
3/13/2023,23210
3/10/2023,22912
3/9/2023,23351
3/8/2023,23742
3/7/2023,24177
3/6/2023,24555
3/3/2023,24750
3/2/2023,24570
3/1/2023,25334
2/28/2023,24963
2/27/2023,25478
2/24/2023,25651
2/23/2023,26171
2/22/2023,26848
2/21/2023,27526
2/20/2023,26700
2/17/2023,25856
2/16/2023,27004
2/15/2023,26658
2/14/2023,26817
2/13/2023,27528
2/10/2023,27349
2/9/2023,27745
2/8/2023,27619
2/7/2023,27071
2/6/2023,26880
2/3/2023,28379
2/2/2023,29377
2/1/2023,28813
1/31/2023,29490
1/30/2023,29809
1/27/2023,30838
1/26/2023,32262
1/25/2023,30850
1/24/2023,29960
1/23/2023,29503
1/20/2023,29536
1/19/2023,28800
1/18/2023,29100
1/17/2023,28416
1/16/2023,28466
1/13/2023,28756
1/12/2023,27409
1/11/2023,26813
1/10/2023,25860
1/9/2023,25861
1/6/2023,25270
1/5/2023,24861
1/4/2023,25095
1/3/2023,25473
12/30/2022,24808
12/29/2022,24915
12/28/2022,24734
12/23/2022,23934
12/22/2022,23930
12/21/2022,24060
12/20/2022,23913
12/19/2022,23307
12/16/2022,23535
12/15/2022,23600
12/14/2022,24275
12/13/2022,24644
12/12/2022,23950
12/9/2022,24290
12/8/2022,24625
12/7/2022,24306
12/6/2022,24814
12/5/2022,24446
12/2/2022,23255
12/1/2022,23331
11/30/2022,22921
11/29/2022,22788
11/28/2022,22354
11/25/2022,22231
11/24/2022,22238
11/23/2022,22028
11/22/2022,22194
11/21/2022,21159
11/18/2022,22664
11/17/2022,22584
11/16/2022,23635
11/15/2022,23386
11/14/2022,22029
11/11/2022,21315
11/10/2022,20324
11/9/2022,19817
11/8/2022,19659
11/7/2022,18939
11/4/2022,18872
11/3/2022,17762
11/2/2022,18010
11/1/2022,17970
10/31/2022,17631
10/28/2022,18101
10/27/2022,18690
10/26/2022,18682
10/25/2022,18477
10/24/2022,18450
10/21/2022,18484
10/20/2022,19348
10/19/2022,19338
10/18/2022,19450
10/17/2022,19645
10/14/2022,19930
10/13/2022,20100
10/12/2022,19820
10/11/2022,20260
10/10/2022,20085
10/7/2022,19425
10/6/2022,20161
10/5/2022,20290
10/4/2022,20207
10/3/2022,20059
9/30/2022,20634
9/29/2022,20523
9/28/2022,20728
9/27/2022,20680
9/26/2022,20640
9/23/2022,20243
9/22/2022,21650
9/21/2022,21170
9/20/2022,21181
9/19/2022,20945
9/16/2022,21137
9/15/2022,20810
9/14/2022,21177
9/13/2022,21380
9/12/2022,21461
9/9/2022,21165
9/8/2022,21342
9/7/2022,20851
9/6/2022,21206
9/5/2022,21625
9/2/2022,21155
9/1/2022,21060
8/31/2022,22793
8/30/2022,23652
8/26/2022,24750
8/25/2022,24310
8/24/2022,24280
8/23/2022,24505
8/22/2022,24465
8/19/2022,24795
8/18/2022,24595
8/17/2022,24660
8/16/2022,24600
8/15/2022,24721
8/12/2022,25177
8/11/2022,25385
8/10/2022,24541
8/9/2022,24426
8/8/2022,24300
8/5/2022,24455
8/4/2022,24545
8/3/2022,24245
8/2/2022,24249
8/1/2022,24900
7/29/2022,25047
7/28/2022,24353
7/27/2022,24344
7/26/2022,24470
7/25/2022,24630
7/22/2022,24947
7/21/2022,24841
7/20/2022,24691
7/19/2022,24810
7/18/2022,24719
7/15/2022,24850
7/14/2022,24318
7/13/2022,25364
7/12/2022,25574
7/11/2022,26263
7/8/2022,25364
7/7/2022,25984
7/6/2022,24712
7/5/2022,26000
7/4/2022,26600
7/1/2022,26650
6/30/2022,26451
6/29/2022,26774
6/28/2022,26800
6/27/2022,26991
6/24/2022,24590
6/23/2022,26985
6/22/2022,29054
6/21/2022,31339
6/20/2022,30800
6/17/2022,31184
6/16/2022,32000
6/15/2022,32444
6/14/2022,31093
6/13/2022,32895
6/10/2022,35265
6/9/2022,36740
6/8/2022,37100
6/7/2022,36073
6/6/2022,35608
6/1/2022,34929
5/31/2022,34670
5/30/2022,34585
5/27/2022,34106
5/26/2022,33630
5/25/2022,34066
5/24/2022,34110
5/23/2022,34614
5/20/2022,34665
5/19/2022,34230
5/18/2022,33019
5/17/2022,34065
5/16/2022,33866
5/13/2022,33370
5/12/2022,33757
5/11/2022,35772
5/10/2022,35527
5/9/2022,37119
5/6/2022,39340
5/5/2022,40500
5/4/2022,40616
5/3/2022,40280
4/29/2022,40259
4/28/2022,40045
4/27/2022,40000
4/26/2022,40543
4/25/2022,39858
4/22/2022,42165
4/21/2022,42860
4/20/2022,42995
4/19/2022,43090
4/14/2022,43043
4/13/2022,43324
4/12/2022,42793
4/11/2022,43379
4/8/2022,43710
4/7/2022,43600
4/6/2022,43850
4/5/2022,44174
4/4/2022,44155
4/1/2022,44767
3/31/2022,42910
3/30/2022,42493
3/29/2022,42424
3/28/2022,42556
3/25/2022,42283
3/24/2022,42726
3/23/2022,42066
3/22/2022,41394
3/21/2022,41755
3/18/2022,42305
3/17/2022,41705
3/16/2022,42277
3/15/2022,43101
3/14/2022,42587
3/11/2022,44100
3/10/2022,43749
3/9/2022,44205
3/8/2022,48650
3/7/2022,46735
3/4/2022,47540
3/3/2022,46412
3/2/2022,45628
3/1/2022,45785
2/28/2022,45224
2/25/2022,44470
2/24/2022,45189
2/23/2022,44935
2/22/2022,44383
2/21/2022,44152
2/18/2022,44140
2/17/2022,43843
2/16/2022,43699
2/15/2022,43408
2/14/2022,43267
2/11/2022,43549
2/10/2022,44192
2/9/2022,43110
2/8/2022,42930
2/7/2022,42944
2/4/2022,43021
2/3/2022,42902
2/2/2022,43050
2/1/2022,42763
1/31/2022,43023
1/28/2022,41684
1/27/2022,41895
1/26/2022,42208
1/25/2022,41370
1/24/2022,42555
1/21/2022,43955
1/20/2022,43497
1/19/2022,42896
1/18/2022,42292
1/17/2022,41300
1/14/2022,40351
1/13/2022,40511
1/12/2022,41402
1/11/2022,40449
1/10/2022,39918
1/7/2022,39826
1/6/2022,39150
1/5/2022,39293
1/4/2022,39195
12/31/2021,38860
12/30/2021,39197
12/29/2021,39143
12/24/2021,39260
12/23/2021,38899
12/22/2021,38725
12/21/2021,38685
12/20/2021,38195
12/17/2021,38410
12/16/2021,38692
12/15/2021,37962
12/14/2021,38601
12/13/2021,38745
12/10/2021,39400
12/9/2021,39500
12/8/2021,39236
12/7/2021,38935
12/6/2021,38734
12/3/2021,39335
12/2/2021,38984
12/1/2021,39086
11/30/2021,39020
11/29/2021,39129
11/26/2021,38652
11/25/2021,39709
11/24/2021,39960
11/23/2021,38870
11/22/2021,38817
11/19/2021,38429
11/18/2021,38453
11/17/2021,37975
11/16/2021,37650
11/15/2021,37500
11/12/2021,37845
11/11/2021,37708
11/10/2021,37280
11/9/2021,37408
11/8/2021,37350
11/5/2021,37060
11/4/2021,36452
11/3/2021,37110
11/2/2021,36642
11/1/2021,36970
10/29/2021,36888
10/28/2021,35858
10/27/2021,35390
10/26/2021,37422
10/25/2021,37457
10/22/2021,37350
10/21/2021,37250
10/20/2021,38215
10/19/2021,37710
10/18/2021,37814
10/15/2021,37200
10/14/2021,36923
10/13/2021,36386
10/12/2021,36473
10/11/2021,36382
10/8/2021,36156
10/7/2021,35285
10/6/2021,35165
10/5/2021,35079
10/4/2021,34450
10/1/2021,33835
9/30/2021,33921
9/29/2021,35450
9/28/2021,35803
9/27/2021,35100
9/24/2021,36539
9/23/2021,35460
9/22/2021,34997
9/21/2021,33820
9/20/2021,33910
9/17/2021,34140
9/16/2021,34050
9/15/2021,34046
9/14/2021,33408
9/13/2021,33498
9/10/2021,33583
9/9/2021,33300
9/8/2021,32215
9/7/2021,32093
9/6/2021,32890
9/3/2021,33055
9/2/2021,33500
9/1/2021,33550
8/31/2021,33907
8/27/2021,33600
8/26/2021,33350
8/25/2021,32915
8/24/2021,32836
8/23/2021,32200
8/20/2021,32237
8/19/2021,33118
8/18/2021,35383
8/17/2021,35798
8/16/2021,35680
8/13/2021,35324
8/12/2021,35270
8/11/2021,35631
8/10/2021,35084
8/9/2021,34600
8/6/2021,34750
8/5/2021,34625
8/4/2021,34630
8/3/2021,34637
8/2/2021,34830
7/30/2021,34649
7/29/2021,34898
7/28/2021,34400
7/27/2021,34375
7/26/2021,34785
7/23/2021,34500
7/22/2021,34100
7/21/2021,33425
7/20/2021,33505
7/19/2021,33380
7/16/2021,33600
7/15/2021,33130
7/14/2021,32661
7/13/2021,32381
7/12/2021,32094
7/9/2021,31680
7/8/2021,31685
7/7/2021,31690
7/6/2021,31669
7/5/2021,31665
7/2/2021,31520
7/1/2021,31294
6/30/2021,31255
6/29/2021,31354
6/28/2021,31152
6/25/2021,30774
6/24/2021,30634
6/23/2021,30400
6/22/2021,30399
6/21/2021,30079
6/18/2021,29862
6/17/2021,30600
6/16/2021,31215
6/15/2021,31463
6/14/2021,31651
6/11/2021,31570
6/10/2021,31195
6/9/2021,31209
6/8/2021,31223
6/7/2021,30525
6/4/2021,30865
6/3/2021,29986
6/2/2021,30845
6/1/2021,30723
5/28/2021,30740
5/27/2021,29910
5/26/2021,29525
5/25/2021,29469
5/24/2021,29465
5/21/2021,29530
5/20/2021,29750
5/19/2021,29615
5/18/2021,30455
5/17/2021,29895
5/14/2021,29515
5/13/2021,29206
5/12/2021,29660
5/11/2021,29842
5/10/2021,29770
5/7/2021,29815
5/6/2021,30125
5/5/2021,29686
5/4/2021,28990
4/30/2021,28690
4/29/2021,28475
4/28/2021,28539
4/27/2021,27150
4/26/2021,27050
4/23/2021,26780
4/22/2021,26785
4/21/2021,26939
4/20/2021,26822
4/19/2021,26718
4/16/2021,26616
4/15/2021,26359
4/14/2021,26217
4/13/2021,25645
4/12/2021,25567
4/9/2021,25755
4/8/2021,25795
4/7/2021,25790
4/6/2021,25815
4/1/2021,25123
3/31/2021,25388
3/30/2021,25310
3/29/2021,25350
3/26/2021,25575
3/25/2021,25200
3/24/2021,25315
3/23/2021,25910
3/22/2021,25800
3/19/2021,25675
3/18/2021,25835
3/17/2021,25740
3/16/2021,25000
3/15/2021,25310
3/12/2021,25600
3/11/2021,25900
3/10/2021,25125
3/9/2021,24435
3/8/2021,24325
3/5/2021,24444
3/4/2021,23575
3/3/2021,24100
3/2/2021,24300
3/1/2021,23460
2/26/2021,25664
2/25/2021,26840
2/24/2021,26700
2/23/2021,26520
2/22/2021,26615
2/19/2021,26215
2/18/2021,24925
2/17/2021,24570
2/16/2021,24250
2/15/2021,24385
2/12/2021,23650
2/11/2021,23300
2/10/2021,23325
2/9/2021,23195
2/8/2021,23069
2/5/2021,23123
2/4/2021,22825
2/3/2021,22940
2/2/2021,22990
2/1/2021,23103
1/29/2021,22779
1/28/2021,22995
1/27/2021,22805
1/26/2021,22850
1/25/2021,22450
1/22/2021,21960
1/21/2021,22001
1/20/2021,21633
1/19/2021,21165
1/18/2021,21235
1/15/2021,21100
1/14/2021,21007
1/13/2021,21035
1/12/2021,20925
1/11/2021,20700
1/8/2021,21000
1/7/2021,21110
1/6/2021,21105
1/5/2021,21185
1/4/2021,21049
12/31/2020,20325
12/30/2020,20335
12/29/2020,20386
12/24/2020,20185
12/23/2020,20033
12/22/2020,20000
12/21/2020,19950
12/18/2020,20059
12/17/2020,20000
12/16/2020,19925
12/15/2020,19695
12/14/2020,19750
12/11/2020,19425
12/10/2020,19465
12/9/2020,19442
12/8/2020,19175
12/7/2020,19120
12/4/2020,18955
12/3/2020,18895
12/2/2020,18790
12/1/2020,18895
11/30/2020,18621
11/27/2020,18911
11/26/2020,18810
11/25/2020,18736
11/24/2020,18693
11/23/2020,18640
11/20/2020,18795
11/19/2020,18730
11/18/2020,18845
11/17/2020,19025
11/16/2020,18755
11/13/2020,18400
11/12/2020,18300
11/11/2020,18200
11/10/2020,18280
11/9/2020,18285
11/6/2020,18360
11/5/2020,18240
11/4/2020,18190
11/3/2020,18075
11/2/2020,17770
10/30/2020,17725
10/29/2020,17822
10/28/2020,17929
10/27/2020,18072
10/26/2020,18050
10/23/2020,18405
10/22/2020,18685
10/21/2020,18745
10/20/2020,18670
10/19/2020,18640
10/16/2020,18320
10/15/2020,18355
10/14/2020,18300
10/13/2020,18255
10/12/2020,18245
10/9/2020,18270
10/8/2020,18137
10/7/2020,18110
10/6/2020,18180
10/5/2020,18070
10/2/2020,17815
10/1/2020,17302
9/30/2020,17494
9/29/2020,17459
9/28/2020,17344
9/25/2020,17185
9/24/2020,17281
9/23/2020,17850
9/22/2020,18250
9/21/2020,18100
9/18/2020,18115
9/17/2020,18190
9/16/2020,18275
9/15/2020,18209
9/14/2020,18155
9/11/2020,18102
9/10/2020,18000
9/9/2020,18015
9/8/2020,18046
9/7/2020,18330
9/4/2020,18250
9/3/2020,18225
9/2/2020,18348
9/1/2020,18186
8/28/2020,17850
8/27/2020,17810
8/26/2020,17550
8/25/2020,17360
8/24/2020,17310
8/21/2020,17570
8/20/2020,17570
8/19/2020,17640
8/18/2020,17600
8/17/2020,17321
8/14/2020,17600
8/13/2020,17500
8/12/2020,17580
8/11/2020,17690
8/10/2020,17716
8/7/2020,17771
8/6/2020,17840
8/5/2020,17885
8/4/2020,17770
8/3/2020,18013
7/31/2020,17897
7/30/2020,17805
7/29/2020,17930
7/28/2020,17993
7/27/2020,18035
7/24/2020,17657
7/23/2020,17813
7/22/2020,17581
