Date,Price
9/26/2024,16745
9/25/2024,16796
9/24/2024,16710
9/23/2024,16544
9/20/2024,16510
9/19/2024,16333
9/18/2024,16233
9/17/2024,16188
9/16/2024,16284
9/13/2024,15944
9/12/2024,16136
9/11/2024,16112
9/10/2024,15741
9/9/2024,15903
9/6/2024,15893
9/5/2024,16078
9/4/2024,16214
9/3/2024,16462
9/2/2024,16625
8/30/2024,16766
8/29/2024,17003
8/28/2024,17019
8/27/2024,17136
8/23/2024,16758
8/22/2024,16603
8/21/2024,16910
8/20/2024,17035
8/19/2024,16666
8/16/2024,16373
8/15/2024,16319
8/14/2024,16276
8/13/2024,16321
8/12/2024,16355
8/9/2024,16150
8/8/2024,16143
8/7/2024,16296
8/6/2024,16385
8/5/2024,16276
8/2/2024,16273
8/1/2024,16282
7/31/2024,16604
7/30/2024,16071
7/29/2024,15837
7/26/2024,15794
7/25/2024,15769
7/24/2024,15827
7/23/2024,16021
7/22/2024,16190
7/19/2024,16256
7/18/2024,16423
7/17/2024,16457
7/16/2024,16594
7/15/2024,16701
7/12/2024,16856
7/11/2024,16809
7/10/2024,16891
7/9/2024,17142
7/8/2024,17473
7/5/2024,17341
7/4/2024,17217
7/3/2024,17323
7/2/2024,17004
7/1/2024,17357
6/28/2024,17291
6/27/2024,17103
6/26/2024,17056
6/25/2024,17167
6/24/2024,17325
6/21/2024,17224
6/20/2024,17424
6/19/2024,17372
6/18/2024,17294
6/17/2024,17467
6/14/2024,17575
6/13/2024,17645
6/12/2024,18061
6/11/2024,17818
6/10/2024,17891
6/7/2024,18031
6/6/2024,18531
6/5/2024,18288
6/4/2024,19068
6/3/2024,19422
5/31/2024,19710
5/30/2024,20063
5/29/2024,20490
5/28/2024,20467
5/24/2024,20250
5/23/2024,20084
5/22/2024,20366
5/21/2024,21304
5/20/2024,21615
5/17/2024,21080
5/16/2024,19797
5/15/2024,19489
5/14/2024,19075
5/13/2024,19230
5/10/2024,18952
5/9/2024,19033
5/8/2024,18885
5/7/2024,19256
5/3/2024,19237
5/2/2024,18648
5/1/2024,18879
4/30/2024,19238
4/29/2024,19148
4/26/2024,19100
4/25/2024,19157
4/24/2024,18945
4/23/2024,19006
4/22/2024,19739
4/19/2024,19326
4/18/2024,18559
4/17/2024,18238
4/16/2024,17726
4/15/2024,17846
4/12/2024,17797
4/11/2024,17811
4/10/2024,18364
4/9/2024,18219
4/8/2024,17848
4/5/2024,17804
4/4/2024,17711
4/3/2024,17339
4/2/2024,17030
3/28/2024,16749
3/27/2024,16620
3/26/2024,16640
3/25/2024,16937
3/22/2024,17242
3/21/2024,17541
3/20/2024,17492
3/19/2024,17395
3/18/2024,17872
3/15/2024,18074
3/14/2024,18077
3/13/2024,18346
3/12/2024,18551
3/11/2024,18377
3/8/2024,18011
3/7/2024,17983
3/6/2024,17717
3/5/2024,17759
3/4/2024,17945
3/1/2024,17662
2/29/2024,17896
2/28/2024,17601
2/27/2024,17460
2/26/2024,17169
2/23/2024,17495
2/22/2024,17392
2/21/2024,16930
2/20/2024,16347
2/19/2024,16349
2/16/2024,16356
2/15/2024,16258
2/14/2024,16346
2/13/2024,16261
2/12/2024,16040
2/9/2024,15921
2/8/2024,16007
2/7/2024,16012
2/6/2024,15927
2/5/2024,16020
2/2/2024,16235
2/1/2024,16230
1/31/2024,16269
1/30/2024,16508
1/29/2024,16439
1/26/2024,16785
1/25/2024,16701
1/24/2024,16648
1/23/2024,16306
1/22/2024,16007
1/19/2024,16036
1/18/2024,16156
1/17/2024,16079
1/16/2024,16150
1/15/2024,16218
1/12/2024,16343
1/11/2024,16420
1/10/2024,16429
1/9/2024,16287
1/8/2024,16303
1/5/2024,16372
1/4/2024,16064
1/3/2024,16409
1/2/2024,16574
12/29/2023,16603
12/28/2023,16734
12/27/2023,16938
12/22/2023,16509
12/21/2023,16888
12/20/2023,16854
12/19/2023,16747
12/18/2023,16502
12/15/2023,17150
12/14/2023,16972
12/13/2023,16468
12/12/2023,16520
12/11/2023,16607
12/8/2023,16806
12/7/2023,16508
12/6/2023,16218
12/5/2023,16143
12/4/2023,16714
12/1/2023,17042
11/30/2023,16645
11/29/2023,17122
11/28/2023,16766
11/27/2023,16079
11/24/2023,16138
11/23/2023,16619
11/22/2023,16435
11/21/2023,16992
11/20/2023,16952
11/17/2023,16904
11/16/2023,17020
11/15/2023,17421
11/14/2023,17487
11/13/2023,17398
11/10/2023,17257
11/9/2023,17813
11/8/2023,18094
11/7/2023,17912
11/6/2023,18445
11/3/2023,18223
11/2/2023,17979
11/1/2023,18014
10/31/2023,18130
10/30/2023,18489
10/27/2023,18374
10/26/2023,18079
10/25/2023,18317
10/24/2023,18274
10/23/2023,18177
10/20/2023,18588
10/19/2023,18520
10/18/2023,18655
10/17/2023,18593
10/16/2023,18602
10/13/2023,18546
10/12/2023,18728
10/11/2023,18371
10/10/2023,18682
10/9/2023,18939
10/6/2023,18582
10/5/2023,18490
10/4/2023,18723
10/3/2023,18728
10/2/2023,18749
9/29/2023,18694
9/28/2023,18887
9/27/2023,19003
9/26/2023,18877
9/25/2023,19120
9/22/2023,19418
9/21/2023,19123
9/20/2023,19593
9/19/2023,19919
9/18/2023,19877
9/15/2023,19924
9/14/2023,20343
9/13/2023,20069
9/12/2023,19923
9/11/2023,20485
9/8/2023,20052
9/7/2023,20482
9/6/2023,20593
9/5/2023,21039
9/4/2023,21040
9/1/2023,21085
8/31/2023,20289
8/30/2023,20631
8/29/2023,20683
8/25/2023,20795
8/24/2023,20829
8/23/2023,20956
8/22/2023,20504
8/21/2023,20119
8/18/2023,20131
8/17/2023,20277
8/16/2023,19804
8/15/2023,19780
8/14/2023,20093
8/11/2023,20241
8/10/2023,20441
8/9/2023,20554
8/8/2023,20841
8/7/2023,21102
8/4/2023,21310
8/3/2023,21607
8/2/2023,21560
8/1/2023,22358
7/31/2023,22293
7/28/2023,22307
7/27/2023,21689
7/26/2023,21590
7/25/2023,22450
7/24/2023,21428
7/21/2023,20769
7/20/2023,21280
7/19/2023,20907
7/18/2023,21084
7/17/2023,21054
7/14/2023,21630
7/13/2023,21294
7/12/2023,21685
7/11/2023,20704
7/10/2023,21014
7/7/2023,20804
7/6/2023,21209
7/5/2023,21207
7/4/2023,20508
7/3/2023,20580
6/30/2023,20516
6/29/2023,20634
6/28/2023,20056
6/27/2023,20789
6/26/2023,20305
6/23/2023,21311
6/22/2023,21182
6/21/2023,21238
6/20/2023,22039
6/19/2023,22503
6/16/2023,23034
6/15/2023,22993
6/14/2023,22720
6/13/2023,21952
6/12/2023,20755
6/9/2023,21170
6/8/2023,21132
6/7/2023,21417
6/6/2023,20968
6/5/2023,20898
6/2/2023,21211
6/1/2023,21318
5/31/2023,20588
5/30/2023,21027
5/26/2023,21162
5/25/2023,21228
5/24/2023,20732
5/23/2023,21047
5/22/2023,21413
5/19/2023,21278
5/18/2023,20934
5/17/2023,21334
5/16/2023,21122
5/15/2023,21622
5/12/2023,22217
5/11/2023,21780
5/10/2023,22531
5/9/2023,23507
5/5/2023,24531
5/4/2023,23997
5/3/2023,24743
