Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large
ExtraTrees,All_Commodity_STI,20,5,0.8526,60.6075,79.7145,0.9225,47.71,1.6382,52.55
ExtraTrees,All_Commodity_STI,20,20,1.3842,98.8258,141.3581,0.7585,48.75,2.6713,53.68
ExtraTrees,All_Commodity_STI,120,1,0.5053,35.9237,47.8842,0.9719,53.23,0.971,51.09
ExtraTrees,All_Commodity_STI,120,5,0.8523,60.5789,79.6275,0.9227,48.28,1.6374,53.28
ExtraTrees,All_Commodity_STI,120,20,1.3807,98.5557,141.0109,0.7597,49.71,2.664,54.41
ExtraTrees,All_Macro_no_UST,20,1,0.5054,35.9307,47.9194,0.9719,53.04,0.9712,50.36
ExtraTrees,All_Macro_no_UST,20,5,0.8524,60.5898,79.6776,0.9226,47.33,1.6377,51.82
ExtraTrees,All_Macro_no_UST,20,20,1.3866,98.9995,141.6387,0.7576,48.75,2.676,53.68
ExtraTrees,All_Macro_no_UST,120,1,0.505,35.9016,47.8858,0.9719,52.28,0.9704,45.26
ExtraTrees,All_Macro_no_UST,120,5,0.8535,60.6669,79.8229,0.9223,48.09,1.6398,52.55
ExtraTrees,All_Macro_no_UST,120,20,1.3849,98.8527,141.2687,0.7588,49.71,2.672,53.68
ExtraTrees,All_Covariates,20,1,0.5059,35.9613,47.9226,0.9719,53.23,0.972,51.82
ExtraTrees,All_Covariates,20,5,0.8532,60.6488,79.7522,0.9224,47.9,1.6393,52.55
ExtraTrees,All_Covariates,20,20,1.3834,98.7753,141.3899,0.7584,48.36,2.6699,52.94
ExtraTrees,All_Covariates,120,1,0.5056,35.9443,47.9238,0.9719,54.37,0.9716,51.09
ExtraTrees,All_Covariates,120,5,0.8533,60.6487,79.7737,0.9224,47.52,1.6393,51.82
ExtraTrees,All_Covariates,120,20,1.3803,98.5229,141.0288,0.7596,49.33,2.6631,53.68
XGBoost,Baseline,20,1,0.5547,39.4174,52.0869,0.9668,51.14,1.0655,54.01
XGBoost,Baseline,20,5,0.9409,66.6661,85.4508,0.911,46.18,1.802,48.18
XGBoost,Baseline,20,20,1.5028,106.4591,141.0551,0.7596,47.01,2.8776,51.47
