Model,Covariates,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,RMSE_std,R2_mean,DA_mean,DA_std
RandomForest,WTI,120,30,2.6913,0.9558,161.4882,229.8075,65.085,0.452,50.08,1.88
RandomForest,STI,30,1,0.6633,0.1673,40.5036,55.5619,9.7981,0.9689,52.88,2.69
RandomForest,STI,30,30,2.6957,0.954,161.9339,229.767,64.2318,0.451,49.51,2.68
RandomForest,STI,120,1,0.6627,0.1673,40.4864,55.4623,9.7103,0.9689,52.26,1.59
RandomForest,STI,120,30,2.7084,0.9657,162.4374,230.345,65.1442,0.4506,50.08,1.99
ExtraTrees,None,30,1,0.6609,0.1655,40.3882,55.2355,9.5099,0.969,51.76,1.78
ExtraTrees,None,30,30,2.6957,0.9614,161.8148,229.3268,64.899,0.4555,49.31,2.64
ExtraTrees,None,120,1,0.6599,0.1645,40.3513,55.1471,9.414,0.9691,52.57,1.18
ExtraTrees,None,120,30,2.7036,0.9669,162.1638,230.4086,65.7633,0.4517,49.56,2.22
ExtraTrees,BI_Rate,30,1,0.6601,0.1637,40.3656,55.1457,9.3822,0.9691,52.37,2.36
ExtraTrees,BI_Rate,30,30,2.6965,0.9652,161.8508,229.4096,64.9986,0.4559,49.2,2.8
ExtraTrees,BI_Rate,120,1,0.6593,0.1636,40.327,55.1125,9.3967,0.9691,51.15,2.37
ExtraTrees,BI_Rate,120,30,2.6929,0.9537,161.59,229.9121,65.313,0.4539,49.87,2.09
ExtraTrees,CPI,30,1,0.6593,0.1636,40.3191,55.1089,9.3558,0.9691,51.86,0.94
ExtraTrees,CPI,30,30,2.6961,0.9606,161.8582,229.5629,64.9629,0.4548,49.25,2.82
ExtraTrees,CPI,120,1,0.659,0.1629,40.3148,55.1087,9.3155,0.969,51.76,2.17
ExtraTrees,CPI,120,30,2.6819,0.9443,161.0752,228.9278,64.3265,0.4533,49.77,2.07
ExtraTrees,M2,30,1,0.6597,0.1625,40.3539,55.1454,9.2033,0.9688,52.21,1.24
ExtraTrees,M2,30,30,2.6955,0.9584,161.8698,229.5123,64.6494,0.452,49.15,2.77
ExtraTrees,M2,120,1,0.6597,0.1627,40.3579,55.0991,9.2568,0.969,51.86,1.7
ExtraTrees,M2,120,30,2.6997,0.9541,162.0431,230.405,65.0033,0.4493,49.72,2.09
ExtraTrees,NPL_Ratio,30,1,0.6599,0.1639,40.3496,55.122,9.3614,0.969,51.55,2.89
ExtraTrees,NPL_Ratio,30,30,2.6952,0.9628,161.8269,229.5154,65.105,0.4558,49.15,2.73
ExtraTrees,NPL_Ratio,120,1,0.6593,0.1637,40.3224,55.1315,9.3758,0.969,52.21,1.01
ExtraTrees,NPL_Ratio,120,30,2.6923,0.9555,161.5545,229.9026,65.5318,0.4539,49.87,1.87
ExtraTrees,USDIDR,30,1,0.6594,0.1637,40.3255,55.1301,9.3833,0.9691,52.21,1.24
ExtraTrees,USDIDR,30,30,2.6947,0.9606,161.7917,229.4916,65.0426,0.455,49.31,2.72
ExtraTrees,USDIDR,120,1,0.6601,0.1645,40.3645,55.1375,9.3991,0.9691,51.45,2.03
