Model,Window,Horizon,Group,MAPE,Baseline_MAPE,MAPE_Impr_pct,MASE,MASE_Impr_pct,DA,DA_Impr_pp,HitLarge,HitLarge_Impr_pp,Wilcoxon_p,Significant
ExtraTrees,20,20,monetary_id,2.1076,2.1004,-0.343,3.6404,-0.361,49.82,0.0,49.11,0.44,0.8438,False
ExtraTrees,20,20,real_economy_id,2.0992,2.1004,0.057,3.6247,0.072,49.87,0.05,48.91,0.24,0.5,False
ExtraTrees,20,20,All_Groups,2.105,2.1004,-0.219,3.6338,-0.179,49.97,0.15,49.83,1.16,0.6875,False
ExtraTrees,120,1,risk_global,0.6582,0.6599,0.258,1.1577,0.233,52.32,-0.25,51.19,3.29,0.0625,False
ExtraTrees,120,1,commodity_id,0.6585,0.6599,0.212,1.1585,0.164,51.65,-0.92,46.56,-1.34,0.2188,False
ExtraTrees,120,1,monetary_id,0.6591,0.6599,0.121,1.1593,0.095,51.55,-1.02,49.95,2.05,0.4062,False
ExtraTrees,120,1,real_economy_id,0.6584,0.6599,0.227,1.1581,0.198,52.62,0.05,49.87,1.97,0.125,False
ExtraTrees,120,1,All_Groups,0.6586,0.6599,0.197,1.1586,0.155,50.79,-1.78,47.77,-0.13,0.4062,False
ExtraTrees,120,5,risk_global,1.0859,1.0869,0.092,1.8856,0.037,49.92,-0.83,49.91,-0.29,0.6875,False
ExtraTrees,120,5,commodity_id,1.0851,1.0869,0.166,1.8849,0.074,50.39,-0.36,50.37,0.17,0.5,False
ExtraTrees,120,5,monetary_id,1.0839,1.0869,0.276,1.8814,0.26,50.59,-0.16,50.19,-0.01,0.3125,False
ExtraTrees,120,5,real_economy_id,1.083,1.0869,0.359,1.8804,0.313,50.69,-0.06,50.41,0.21,0.1562,False
ExtraTrees,120,5,All_Groups,1.0823,1.0869,0.423,1.8793,0.371,50.13,-0.62,49.73,-0.47,0.0625,False
ExtraTrees,120,20,risk_global,2.1038,2.1053,0.071,3.6297,0.066,50.08,-0.16,49.47,-0.47,0.4062,False
ExtraTrees,120,20,commodity_id,2.0992,2.1053,0.29,3.6245,0.209,50.03,-0.21,49.76,-0.18,0.2188,False
ExtraTrees,120,20,monetary_id,2.1052,2.1053,0.005,3.6325,-0.011,49.92,-0.32,49.02,-0.92,0.7812,False
ExtraTrees,120,20,real_economy_id,2.0994,2.1053,0.28,3.6223,0.27,49.97,-0.27,49.57,-0.37,0.1562,False
ExtraTrees,120,20,All_Groups,2.1049,2.1053,0.019,3.6336,-0.041,49.97,-0.27,49.28,-0.66,0.5,False
XGBoost,20,1,risk_global,0.7139,0.7096,-0.606,1.2608,-1.009,51.4,1.37,49.57,3.47,0.6875,False
XGBoost,20,1,commodity_id,0.718,0.7096,-1.184,1.2683,-1.61,50.38,0.35,49.98,3.88,0.6875,False
XGBoost,20,1,monetary_id,0.7073,0.7096,0.324,1.245,0.256,51.6,1.57,51.71,5.61,0.4062,False
XGBoost,20,1,real_economy_id,0.6982,0.7096,1.607,1.2303,1.434,51.7,1.67,46.8,0.7,0.0938,False
XGBoost,20,1,All_Groups,0.7105,0.7096,-0.127,1.255,-0.545,51.7,1.67,54.32,8.22,0.5938,False
XGBoost,20,5,risk_global,1.2019,1.1688,-2.832,2.1063,-3.636,50.08,-1.8,49.87,-1.9,0.8438,False
XGBoost,20,5,commodity_id,1.1653,1.1688,0.299,2.0413,-0.438,50.64,-1.24,50.65,-1.12,0.6875,False
XGBoost,20,5,monetary_id,1.1693,1.1688,-0.043,2.0448,-0.61,50.95,-0.93,52.82,1.05,0.5,False
XGBoost,20,5,real_economy_id,1.1484,1.1688,1.745,2.0012,1.535,51.21,-0.67,52.7,0.93,0.2188,False
XGBoost,20,5,All_Groups,1.2044,1.1688,-3.046,2.0995,-3.302,51.67,-0.21,52.85,1.08,0.7812,False
XGBoost,20,20,risk_global,2.6124,2.3139,-12.9,4.5517,-13.066,49.23,-0.8,50.07,0.93,0.9375,False
XGBoost,20,20,commodity_id,2.4556,2.3139,-6.124,4.2942,-6.67,48.71,-1.32,47.21,-1.93,0.6875,False
XGBoost,20,20,monetary_id,2.3487,2.3139,-1.504,4.0834,-1.433,48.65,-1.38,47.26,-1.88,0.6875,False
XGBoost,20,20,real_economy_id,2.443,2.3139,-5.579,4.2428,-5.393,48.92,-1.11,48.98,-0.16,0.9062,False
XGBoost,20,20,All_Groups,2.4362,2.3139,-5.285,4.2533,-5.654,50.24,0.21,48.08,-1.06,0.8438,False
XGBoost,120,1,risk_global,0.7058,0.709,0.451,1.2452,0.12,51.7,1.62,53.43,4.42,0.5,False
XGBoost,120,1,commodity_id,0.7198,0.709,-1.523,1.2732,-2.126,49.77,-0.31,49.98,0.97,0.7812,False
XGBoost,120,1,monetary_id,0.6996,0.709,1.326,1.2312,1.243,52.06,1.98,52.47,3.46,0.0625,False
XGBoost,120,1,real_economy_id,0.7054,0.709,0.508,1.2408,0.473,50.53,0.45,48.46,-0.55,0.3125,False
XGBoost,120,1,All_Groups,0.695,0.709,1.975,1.2264,1.628,51.25,1.17,51.89,2.88,0.3125,False
XGBoost,120,5,risk_global,1.2014,1.1749,-2.256,2.1017,-3.141,48.84,-2.16,50.87,-0.1,0.7812,False
XGBoost,120,5,commodity_id,1.202,1.1749,-2.307,2.1008,-3.097,48.84,-2.16,50.93,-0.04,0.6875,False
XGBoost,120,5,monetary_id,1.1566,1.1749,1.558,2.0159,1.07,50.13,-0.87,49.71,-1.26,0.4062,False
XGBoost,120,5,real_economy_id,1.1757,1.1749,-0.068,2.0453,-0.373,49.2,-1.8,46.5,-4.47,0.6875,False
XGBoost,120,5,All_Groups,1.1911,1.1749,-1.379,2.0856,-2.351,49.0,-2.0,50.73,-0.24,0.6875,False
XGBoost,120,20,risk_global,2.4194,2.373,-1.955,4.2063,-2.341,48.44,0.37,47.82,1.43,0.6875,False
XGBoost,120,20,commodity_id,2.5313,2.373,-6.671,4.4294,-7.769,48.44,0.37,47.32,0.93,0.6875,False
XGBoost,120,20,monetary_id,2.2554,2.373,4.956,3.908,4.917,49.92,1.85,49.51,3.12,0.0312,True
XGBoost,120,20,real_economy_id,2.3072,2.373,2.773,4.0025,2.618,49.71,1.64,48.14,1.75,0.1562,False
XGBoost,120,20,All_Groups,2.4137,2.373,-1.715,4.206,-2.333,47.92,-0.15,49.45,3.06,0.6875,False
LightGBM,20,1,risk_global,0.7094,0.7057,-0.524,1.2531,-0.967,52.37,0.26,51.93,0.78,0.6875,False
LightGBM,20,1,commodity_id,0.7208,0.7057,-2.14,1.2741,-2.659,50.38,-1.73,49.16,-1.99,0.7812,False
LightGBM,20,1,monetary_id,0.709,0.7057,-0.468,1.2494,-0.669,51.7,-0.41,54.45,3.3,0.6875,False
