Model,Covariates,Window,Horizon,mape_mean,mape_std,da_mean,mase_mean,n_folds
ExtraTrees,Gold,120,5,1.03744,0.2541197119469483,51.302,1.8175999999999999,5
ExtraTrees,Gold,120,20,2.01418,0.5684551143230219,49.868,3.5141800000000005,5
ExtraTrees,M2,20,1,0.6383,0.15127152739362423,50.565999999999995,1.11568,5
ExtraTrees,M2,20,5,1.03888,0.2532471263410505,51.354,1.8201,5
ExtraTrees,M2,20,20,2.01452,0.560489412924098,49.602,3.51576,5
ExtraTrees,M2,120,1,0.63752,0.15186899617762672,51.90599999999999,1.1141999999999999,5
ExtraTrees,M2,120,5,1.03716,0.25375767574597624,51.302,1.81768,5
ExtraTrees,M2,120,20,2.01776,0.5728957261142729,49.498000000000005,3.5190399999999995,5
ExtraTrees,NPL_Ratio,20,1,0.6376999999999999,0.15088944628435752,51.96,1.11474,5
ExtraTrees,NPL_Ratio,20,5,1.0394,0.2542094510438193,50.989999999999995,1.8207799999999998,5
ExtraTrees,NPL_Ratio,20,20,2.0111,0.5593958660912681,49.868,3.50942,5
ExtraTrees,NPL_Ratio,120,1,0.6373,0.15154055562785823,51.65,1.11374,5
ExtraTrees,NPL_Ratio,120,5,1.0346,0.25156505122929934,50.626,1.8136800000000002,5
ExtraTrees,NPL_Ratio,120,20,2.01586,0.5694582627374898,49.602,3.51608,5
ExtraTrees,Nickel,20,1,0.63846,0.15153776097065708,50.722,1.11592,5
ExtraTrees,Nickel,20,5,1.0433400000000002,0.25671449705850274,50.260000000000005,1.82774,5
ExtraTrees,Nickel,20,20,2.01276,0.5584612323160848,49.658,3.51304,5
ExtraTrees,Nickel,120,1,0.6384000000000001,0.15219715831775568,50.257999999999996,1.11564,5
ExtraTrees,Nickel,120,5,1.03738,0.2548954628862586,50.626,1.8178,5
ExtraTrees,Nickel,120,20,2.0202199999999997,0.569359172227865,49.392,3.52446,5
ExtraTrees,STI,20,1,0.63826,0.151468141864882,51.548,1.1152000000000002,5
ExtraTrees,STI,20,5,1.0443,0.2582736146028084,51.198,1.8276800000000002,5
ExtraTrees,STI,20,20,2.02182,0.5666418772028766,49.55,3.5265999999999997,5
ExtraTrees,STI,120,1,0.63822,0.1521961793212957,52.629999999999995,1.11518,5
ExtraTrees,STI,120,5,1.04128,0.25913486257159607,51.354,1.82302,5
ExtraTrees,STI,120,20,2.03196,0.5908095869228935,49.604,3.53842,5
ExtraTrees,Screening1,20,1,0.6378199999999999,0.15260795195532903,51.03,1.11448,5
ExtraTrees,Screening1,20,5,1.04662,0.25918064549653397,51.042,1.8305,5
ExtraTrees,Screening1,20,20,2.0101199999999997,0.5581283338086325,49.81400000000001,3.5090000000000003,5
ExtraTrees,Screening1,120,1,0.6359999999999999,0.15013808644044985,52.424,1.11206,5
ExtraTrees,Screening1,120,5,1.0413000000000001,0.255015862251743,51.458000000000006,1.8236599999999998,5
ExtraTrees,Screening1,120,20,2.02436,0.5753021319272158,49.55,3.52918,5
ExtraTrees,Screening2,20,1,0.6374,0.1515545776279951,52.06,1.11408,5
ExtraTrees,Screening2,20,5,1.0474,0.2597984507267123,50.989999999999995,1.83188,5
ExtraTrees,Screening2,20,20,2.0098200000000004,0.5565924469483932,49.602,3.5075200000000004,5
ExtraTrees,Screening2,120,1,0.63726,0.15108417521368672,52.67999999999999,1.1139800000000002,5
ExtraTrees,Screening2,120,5,1.04006,0.2531065743911051,51.042,1.82182,5
ExtraTrees,Screening2,120,20,2.02826,0.5764861689581112,49.552,3.5358400000000003,5
