Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,Improvement_pct,Passed
RandomForest,120,20,Gold,2.0979,2.1073,0.446,True
RandomForest,120,20,WTI,2.1009,2.1073,0.304,True
RandomForest,120,20,STI,2.0996,2.1073,0.365,True
ExtraTrees,20,1,BI_Rate,0.6599,0.6608,0.136,False
ExtraTrees,20,1,CPI,0.6595,0.6608,0.197,False
ExtraTrees,20,1,M2,0.66,0.6608,0.121,False
ExtraTrees,20,1,NPL_Ratio,0.6597,0.6608,0.166,False
ExtraTrees,20,1,USDIDR,0.6589,0.6608,0.288,False
ExtraTrees,20,1,GDP,0.6598,0.6608,0.151,False
ExtraTrees,20,1,US_Treasury_10Y,0.661,0.6608,-0.03,False
ExtraTrees,20,1,Coal,0.66,0.6608,0.121,False
ExtraTrees,20,1,Copper,0.6577,0.6608,0.469,True
ExtraTrees,20,1,Nickel,0.66,0.6608,0.121,False
ExtraTrees,20,1,Silver,0.6579,0.6608,0.439,True
ExtraTrees,20,1,Tin,0.6597,0.6608,0.166,False
ExtraTrees,20,1,Gold,0.6595,0.6608,0.197,False
ExtraTrees,20,1,WTI,0.6597,0.6608,0.166,False
ExtraTrees,20,1,STI,0.6595,0.6608,0.197,False
ExtraTrees,20,5,BI_Rate,1.0876,1.0892,0.147,False
ExtraTrees,20,5,CPI,1.0867,1.0892,0.23,False
ExtraTrees,20,5,M2,1.0833,1.0892,0.542,True
ExtraTrees,20,5,NPL_Ratio,1.0877,1.0892,0.138,False
ExtraTrees,20,5,USDIDR,1.0907,1.0892,-0.138,False
ExtraTrees,20,5,GDP,1.0873,1.0892,0.174,False
ExtraTrees,20,5,US_Treasury_10Y,1.0892,1.0892,0.0,False
ExtraTrees,20,5,Coal,1.0896,1.0892,-0.037,False
ExtraTrees,20,5,Copper,1.0858,1.0892,0.312,True
ExtraTrees,20,5,Nickel,1.088,1.0892,0.11,False
ExtraTrees,20,5,Silver,1.0848,1.0892,0.404,True
ExtraTrees,20,5,Tin,1.0905,1.0892,-0.119,False
ExtraTrees,20,5,Gold,1.0873,1.0892,0.174,False
ExtraTrees,20,5,WTI,1.0896,1.0892,-0.037,False
ExtraTrees,20,5,STI,1.0847,1.0892,0.413,True
ExtraTrees,20,20,BI_Rate,2.101,2.1004,-0.029,False
ExtraTrees,20,20,CPI,2.1018,2.1004,-0.067,False
ExtraTrees,20,20,M2,2.111,2.1004,-0.505,False
ExtraTrees,20,20,NPL_Ratio,2.1009,2.1004,-0.024,False
ExtraTrees,20,20,USDIDR,2.1025,2.1004,-0.1,False
ExtraTrees,20,20,GDP,2.0997,2.1004,0.033,False
ExtraTrees,20,20,US_Treasury_10Y,2.1139,2.1004,-0.643,False
ExtraTrees,20,20,Coal,2.1029,2.1004,-0.119,False
ExtraTrees,20,20,Copper,2.1005,2.1004,-0.005,False
ExtraTrees,20,20,Nickel,2.0993,2.1004,0.052,False
ExtraTrees,20,20,Silver,2.098,2.1004,0.114,False
ExtraTrees,20,20,Tin,2.1085,2.1004,-0.386,False
ExtraTrees,20,20,Gold,2.0985,2.1004,0.09,False
ExtraTrees,20,20,WTI,2.099,2.1004,0.067,False
ExtraTrees,20,20,STI,2.106,2.1004,-0.267,False
ExtraTrees,120,1,BI_Rate,0.6593,0.6599,0.091,False
