Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,MAPE_Impr_pct,DA,Baseline_DA,DA_Impr_pp,Consistency,Passed_MAPE,Passed_DA,Passed_Any,Passed_Both
LightGBM,120,5,Tin,1.1827,1.1848,0.177,49.72,49.87,-0.15,0.007,False,False,False,False
LightGBM,120,5,Gold,1.1556,1.1848,2.465,50.64,49.87,0.77,0.09,True,False,True,False
LightGBM,120,5,WTI,1.1782,1.1848,0.557,50.03,49.87,0.16,0.02,True,False,True,False
LightGBM,120,5,STI,1.1821,1.1848,0.228,50.39,49.87,0.52,0.008,False,False,False,False
LightGBM,120,20,BI_Rate,2.4184,2.3944,-1.002,48.65,48.55,0.1,-0.033,False,False,False,False
LightGBM,120,20,CPI,2.3722,2.3944,0.927,49.5,48.55,0.95,0.033,True,False,True,False
LightGBM,120,20,M2,2.3393,2.3944,2.301,49.45,48.55,0.9,0.071,True,False,True,False
LightGBM,120,20,NPL_Ratio,2.3502,2.3944,1.846,49.82,48.55,1.27,0.059,True,True,True,True
LightGBM,120,20,USDIDR,2.3744,2.3944,0.835,49.66,48.55,1.11,0.031,True,True,True,True
LightGBM,120,20,GDP,2.3497,2.3944,1.867,50.29,48.55,1.74,0.065,True,True,True,True
LightGBM,120,20,US_Treasury_10Y,2.6433,2.3944,-10.395,49.5,48.55,0.95,-0.508,False,False,False,False
LightGBM,120,20,Coal,2.4731,2.3944,-3.287,49.39,48.55,0.84,-0.127,False,False,False,False
LightGBM,120,20,Copper,2.2549,2.3944,5.826,49.82,48.55,1.27,0.239,True,True,True,True
LightGBM,120,20,Nickel,2.4864,2.3944,-3.842,49.08,48.55,0.53,-0.179,False,False,False,False
LightGBM,120,20,Silver,2.3118,2.3944,3.45,50.61,48.55,2.06,0.118,True,True,True,True
LightGBM,120,20,Tin,2.3825,2.3944,0.497,49.34,48.55,0.79,0.02,True,False,True,False
LightGBM,120,20,Gold,2.2416,2.3944,6.382,49.76,48.55,1.21,0.242,True,True,True,True
LightGBM,120,20,WTI,2.3002,2.3944,3.934,49.29,48.55,0.74,0.128,True,False,True,False
LightGBM,120,20,STI,2.3754,2.3944,0.794,49.71,48.55,1.16,0.027,True,True,True,True
