Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,MAPE_Impr_pct,DA,Baseline_DA,DA_Impr_pp,Consistency,Passed_MAPE,Passed_DA,Passed_Any,Passed_Both
ExtraTrees,20,20,US_Treasury_10Y,2.1139,2.1004,-0.643,49.39,49.82,-0.43,-0.023,False,False,False,False
ExtraTrees,20,20,Coal,2.1029,2.1004,-0.119,49.71,49.82,-0.11,-0.004,False,False,False,False
ExtraTrees,20,20,Copper,2.1005,2.1004,-0.005,49.5,49.82,-0.32,-0.0,False,False,False,False
ExtraTrees,20,20,Nickel,2.0993,2.1004,0.052,49.45,49.82,-0.37,0.002,False,False,False,False
ExtraTrees,20,20,Silver,2.098,2.1004,0.114,49.87,49.82,0.05,0.004,False,False,False,False
ExtraTrees,20,20,Tin,2.1085,2.1004,-0.386,49.18,49.82,-0.64,-0.014,False,False,False,False
ExtraTrees,20,20,Gold,2.0985,2.1004,0.09,50.03,49.82,0.21,0.003,False,False,False,False
ExtraTrees,20,20,WTI,2.099,2.1004,0.067,49.82,49.82,0.0,0.002,False,False,False,False
ExtraTrees,20,20,STI,2.106,2.1004,-0.267,49.87,49.82,0.05,-0.009,False,False,False,False
ExtraTrees,120,1,BI_Rate,0.6593,0.6599,0.091,51.15,52.57,-1.42,0.004,False,False,False,False
ExtraTrees,120,1,CPI,0.659,0.6599,0.136,51.76,52.57,-0.81,0.006,False,False,False,False
ExtraTrees,120,1,M2,0.6597,0.6599,0.03,51.86,52.57,-0.71,0.001,False,False,False,False
ExtraTrees,120,1,NPL_Ratio,0.6593,0.6599,0.091,52.21,52.57,-0.36,0.004,False,False,False,False
ExtraTrees,120,1,USDIDR,0.6601,0.6599,-0.03,51.45,52.57,-1.12,-0.001,False,False,False,False
ExtraTrees,120,1,GDP,0.6587,0.6599,0.182,52.52,52.57,-0.05,0.007,False,False,False,False
ExtraTrees,120,1,US_Treasury_10Y,0.6597,0.6599,0.03,51.65,52.57,-0.92,0.001,False,False,False,False
ExtraTrees,120,1,Coal,0.6603,0.6599,-0.061,50.43,52.57,-2.14,-0.002,False,False,False,False
ExtraTrees,120,1,Copper,0.659,0.6599,0.136,52.57,52.57,0.0,0.006,False,False,False,False
ExtraTrees,120,1,Nickel,0.6599,0.6599,0.0,51.3,52.57,-1.27,0.0,False,False,False,False
ExtraTrees,120,1,Silver,0.6586,0.6599,0.197,53.23,52.57,0.66,0.008,False,False,False,False
ExtraTrees,120,1,Tin,0.6592,0.6599,0.106,50.89,52.57,-1.68,0.004,False,False,False,False
ExtraTrees,120,1,Gold,0.659,0.6599,0.136,52.57,52.57,0.0,0.005,False,False,False,False
ExtraTrees,120,1,WTI,0.6586,0.6599,0.197,52.16,52.57,-0.41,0.008,False,False,False,False
ExtraTrees,120,1,STI,0.6594,0.6599,0.076,53.89,52.57,1.32,0.003,False,True,True,False
ExtraTrees,120,5,BI_Rate,1.0843,1.0869,0.239,50.59,50.75,-0.16,0.008,False,False,False,False
ExtraTrees,120,5,CPI,1.0845,1.0869,0.221,50.33,50.75,-0.42,0.007,False,False,False,False
ExtraTrees,120,5,M2,1.0826,1.0869,0.396,50.9,50.75,0.15,0.013,True,False,True,False
ExtraTrees,120,5,NPL_Ratio,1.0829,1.0869,0.368,50.03,50.75,-0.72,0.012,True,False,True,False
ExtraTrees,120,5,USDIDR,1.0872,1.0869,-0.028,50.44,50.75,-0.31,-0.001,False,False,False,False
ExtraTrees,120,5,GDP,1.0857,1.0869,0.11,50.39,50.75,-0.36,0.004,False,False,False,False
ExtraTrees,120,5,US_Treasury_10Y,1.0872,1.0869,-0.028,50.13,50.75,-0.62,-0.001,False,False,False,False
ExtraTrees,120,5,Coal,1.0862,1.0869,0.064,50.8,50.75,0.05,0.002,False,False,False,False
ExtraTrees,120,5,Copper,1.0861,1.0869,0.074,50.59,50.75,-0.16,0.002,False,False,False,False
ExtraTrees,120,5,Nickel,1.0842,1.0869,0.248,50.85,50.75,0.1,0.008,False,False,False,False
ExtraTrees,120,5,Silver,1.0863,1.0869,0.055,50.39,50.75,-0.36,0.002,False,False,False,False
ExtraTrees,120,5,Tin,1.0839,1.0869,0.276,50.13,50.75,-0.62,0.009,False,False,False,False
ExtraTrees,120,5,Gold,1.0848,1.0869,0.193,50.8,50.75,0.05,0.006,False,False,False,False
ExtraTrees,120,5,WTI,1.0849,1.0869,0.184,50.18,50.75,-0.57,0.006,False,False,False,False
ExtraTrees,120,5,STI,1.086,1.0869,0.083,50.64,50.75,-0.11,0.003,False,False,False,False
ExtraTrees,120,20,BI_Rate,2.1017,2.1053,0.171,50.34,50.24,0.1,0.006,False,False,False,False
ExtraTrees,120,20,CPI,2.103,2.1053,0.109,50.03,50.24,-0.21,0.004,False,False,False,False
ExtraTrees,120,20,M2,2.1071,2.1053,-0.085,50.08,50.24,-0.16,-0.003,False,False,False,False
ExtraTrees,120,20,NPL_Ratio,2.1004,2.1053,0.233,50.34,50.24,0.1,0.008,False,False,False,False
ExtraTrees,120,20,USDIDR,2.1056,2.1053,-0.014,50.45,50.24,0.21,-0.0,False,False,False,False
ExtraTrees,120,20,GDP,2.1011,2.1053,0.199,49.97,50.24,-0.27,0.007,False,False,False,False
ExtraTrees,120,20,US_Treasury_10Y,2.1053,2.1053,0.0,49.97,50.24,-0.27,0.0,False,False,False,False
ExtraTrees,120,20,Coal,2.1068,2.1053,-0.071,50.34,50.24,0.1,-0.002,False,False,False,False
ExtraTrees,120,20,Copper,2.1008,2.1053,0.214,50.13,50.24,-0.11,0.008,False,False,False,False
ExtraTrees,120,20,Nickel,2.1055,2.1053,-0.009,49.97,50.24,-0.27,-0.0,False,False,False,False
ExtraTrees,120,20,Silver,2.1043,2.1053,0.047,50.5,50.24,0.26,0.002,False,False,False,False
ExtraTrees,120,20,Tin,2.1038,2.1053,0.071,50.13,50.24,-0.11,0.003,False,False,False,False
ExtraTrees,120,20,Gold,2.1,2.1053,0.252,50.34,50.24,0.1,0.009,False,False,False,False
ExtraTrees,120,20,WTI,2.1005,2.1053,0.228,50.45,50.24,0.21,0.008,False,False,False,False
ExtraTrees,120,20,STI,2.11,2.1053,-0.223,50.4,50.24,0.16,-0.008,False,False,False,False
XGBoost,20,1,BI_Rate,0.7049,0.7096,0.662,51.04,50.03,1.01,0.029,True,True,True,True
XGBoost,20,1,CPI,0.701,0.7096,1.212,51.91,50.03,1.88,0.053,True,True,True,True
XGBoost,20,1,M2,0.7068,0.7096,0.395,49.92,50.03,-0.11,0.016,True,False,True,False
XGBoost,20,1,NPL_Ratio,0.7037,0.7096,0.831,51.3,50.03,1.27,0.037,True,True,True,True
XGBoost,20,1,USDIDR,0.7021,0.7096,1.057,52.01,50.03,1.98,0.046,True,True,True,True
XGBoost,20,1,GDP,0.7004,0.7096,1.297,51.5,50.03,1.47,0.056,True,True,True,True
XGBoost,20,1,US_Treasury_10Y,0.7132,0.7096,-0.507,51.25,50.03,1.22,-0.023,False,True,True,False
XGBoost,20,1,Coal,0.7107,0.7096,-0.155,51.91,50.03,1.88,-0.007,False,True,True,False
XGBoost,20,1,Copper,0.7026,0.7096,0.986,51.4,50.03,1.37,0.041,True,True,True,True
XGBoost,20,1,Nickel,0.7142,0.7096,-0.648,50.08,50.03,0.05,-0.031,False,False,False,False
XGBoost,20,1,Silver,0.7038,0.7096,0.817,52.98,50.03,2.95,0.036,True,True,True,True
XGBoost,20,1,Tin,0.7144,0.7096,-0.676,50.38,50.03,0.35,-0.033,False,False,False,False
XGBoost,20,1,Gold,0.6933,0.7096,2.297,51.55,50.03,1.52,0.094,True,True,True,True
XGBoost,20,1,WTI,0.7043,0.7096,0.747,50.53,50.03,0.5,0.032,True,False,True,False
XGBoost,20,1,STI,0.7001,0.7096,1.339,51.45,50.03,1.42,0.06,True,True,True,True
XGBoost,20,5,BI_Rate,1.1619,1.1688,0.59,51.31,51.88,-0.57,0.021,True,False,True,False
XGBoost,20,5,CPI,1.1562,1.1688,1.078,51.36,51.88,-0.52,0.039,True,False,True,False
XGBoost,20,5,M2,1.1863,1.1688,-1.497,50.8,51.88,-1.08,-0.048,False,False,False,False
XGBoost,20,5,NPL_Ratio,1.1591,1.1688,0.83,50.95,51.88,-0.93,0.029,True,False,True,False
XGBoost,20,5,USDIDR,1.1653,1.1688,0.299,51.77,51.88,-0.11,0.01,False,False,False,False
XGBoost,20,5,GDP,1.162,1.1688,0.582,51.83,51.88,-0.05,0.02,True,False,True,False
XGBoost,20,5,US_Treasury_10Y,1.1851,1.1688,-1.395,50.95,51.88,-0.93,-0.058,False,False,False,False
XGBoost,20,5,Coal,1.1649,1.1688,0.334,51.21,51.88,-0.67,0.012,True,False,True,False
