Variable,Mean_Abs_SHAP,Rank
Nickel,0.0002168867689621721,1
WTI,0.0002095731980675991,2
Gold,0.000163344696415305,3
Copper,0.00011739457732510665,4
Silver,8.75187206101348e-05,5
IHSG,4.1543123841593886e-05,6
