Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,MAPE_Impr_pct,DA,Baseline_DA,DA_Impr_pp,Consistency,MASE,hit_large,Passed_MAPE,Passed_DA,Passed_Any,Passed_Both
RandomForest,120,1,NPL_Ratio,0.5073,0.5069,-0.079,50.38,52.28,-1.9,-0.0008,0.9747,44.53,False,False,False,False
RandomForest,120,1,USDIDR,0.5061,0.5069,0.158,53.23,52.28,0.95,0.0016,0.9724,43.8,False,False,False,False
RandomForest,120,1,GDP,0.5081,0.5069,-0.237,52.47,52.28,0.19,-0.0024,0.9763,44.53,False,False,False,False
RandomForest,120,1,US_Treasury_10Y,0.5124,0.5069,-1.085,47.91,52.28,-4.37,-0.0107,0.9846,39.42,False,False,False,False
RandomForest,120,1,Coal,0.5072,0.5069,-0.059,51.14,52.28,-1.14,-0.0006,0.9746,43.07,False,False,False,False
RandomForest,120,1,Copper,0.5058,0.5069,0.217,51.71,52.28,-0.57,0.0022,0.9718,52.55,False,False,False,False
RandomForest,120,1,Nickel,0.5098,0.5069,-0.572,49.05,52.28,-3.23,-0.0057,0.9794,48.91,False,False,False,False
RandomForest,120,1,Silver,0.5055,0.5069,0.276,54.18,52.28,1.9,0.0028,0.9713,53.28,False,True,True,False
RandomForest,120,1,Tin,0.507,0.5069,-0.02,50.57,52.28,-1.71,-0.0002,0.9743,42.34,False,False,False,False
RandomForest,120,1,Gold,0.5079,0.5069,-0.197,51.9,52.28,-0.38,-0.002,0.9758,43.07,False,False,False,False
RandomForest,120,1,WTI,0.5051,0.5069,0.355,53.23,52.28,0.95,0.0036,0.9705,53.28,True,False,True,False
RandomForest,120,1,STI,0.5077,0.5069,-0.158,52.66,52.28,0.38,-0.0016,0.9756,45.26,False,False,False,False
RandomForest,120,5,BI_Rate,0.8523,0.8526,0.035,47.9,47.9,0.0,0.0004,1.6374,51.82,False,False,False,False
RandomForest,120,5,CPI,0.8525,0.8526,0.012,47.9,47.9,0.0,0.0001,1.6378,51.82,False,False,False,False
RandomForest,120,5,M2,0.8532,0.8526,-0.07,47.52,47.9,-0.38,-0.0007,1.6391,51.82,False,False,False,False
RandomForest,120,5,NPL_Ratio,0.8535,0.8526,-0.106,47.33,47.9,-0.57,-0.0011,1.6399,51.82,False,False,False,False
RandomForest,120,5,USDIDR,0.8563,0.8526,-0.434,48.85,47.9,0.95,-0.0043,1.6451,51.82,False,False,False,False
RandomForest,120,5,GDP,0.8524,0.8526,0.023,48.09,47.9,0.19,0.0002,1.6376,51.82,False,False,False,False
RandomForest,120,5,US_Treasury_10Y,0.8769,0.8526,-2.85,47.71,47.9,-0.19,-0.0277,1.6835,51.09,False,False,False,False
RandomForest,120,5,Coal,0.8523,0.8526,0.035,47.9,47.9,0.0,0.0004,1.6374,51.82,False,False,False,False
RandomForest,120,5,Copper,0.8525,0.8526,0.012,47.9,47.9,0.0,0.0001,1.6378,51.82,False,False,False,False
RandomForest,120,5,Nickel,0.8524,0.8526,0.023,47.9,47.9,0.0,0.0002,1.6375,51.82,False,False,False,False
RandomForest,120,5,Silver,0.8525,0.8526,0.012,47.52,47.9,-0.38,0.0001,1.6377,51.82,False,False,False,False
RandomForest,120,5,Tin,0.8528,0.8526,-0.023,47.9,47.9,0.0,-0.0002,1.6384,51.82,False,False,False,False
RandomForest,120,5,Gold,0.8511,0.8526,0.176,48.66,47.9,0.76,0.0018,1.6351,53.28,False,False,False,False
RandomForest,120,5,WTI,0.852,0.8526,0.07,47.9,47.9,0.0,0.0007,1.6368,51.82,False,False,False,False
RandomForest,120,5,STI,0.8544,0.8526,-0.211,48.28,47.9,0.38,-0.0021,1.6414,51.82,False,False,False,False
RandomForest,120,20,BI_Rate,1.3894,1.3892,-0.014,49.71,49.33,0.38,-0.0001,2.6814,53.68,False,False,False,False
RandomForest,120,20,CPI,1.3949,1.3892,-0.41,49.52,49.33,0.19,-0.0041,2.6908,52.94,False,False,False,False
RandomForest,120,20,M2,1.375,1.3892,1.022,49.52,49.33,0.19,0.0103,2.654,52.94,True,False,True,False
RandomForest,120,20,NPL_Ratio,1.3753,1.3892,1.001,49.71,49.33,0.38,0.0101,2.6542,52.94,True,False,True,False
RandomForest,120,20,USDIDR,1.3903,1.3892,-0.079,49.71,49.33,0.38,-0.0008,2.6826,52.94,False,False,False,False
RandomForest,120,20,GDP,1.3865,1.3892,0.194,49.52,49.33,0.19,0.0019,2.6759,52.94,False,False,False,False
RandomForest,120,20,US_Treasury_10Y,1.4955,1.3892,-7.652,49.33,49.33,0.0,-0.0711,2.881,52.21,False,False,False,False
RandomForest,120,20,Coal,1.3908,1.3892,-0.115,49.71,49.33,0.38,-0.0012,2.684,52.94,False,False,False,False
RandomForest,120,20,Copper,1.3907,1.3892,-0.108,49.33,49.33,0.0,-0.0011,2.684,52.94,False,False,False,False
RandomForest,120,20,Nickel,1.388,1.3892,0.086,49.52,49.33,0.19,0.0009,2.6787,52.94,False,False,False,False
RandomForest,120,20,Silver,1.3869,1.3892,0.166,49.52,49.33,0.19,0.0017,2.6768,53.68,False,False,False,False
RandomForest,120,20,Tin,1.4006,1.3892,-0.821,49.52,49.33,0.19,-0.0081,2.704,53.68,False,False,False,False
RandomForest,120,20,Gold,1.401,1.3892,-0.849,49.33,49.33,0.0,-0.0084,2.7032,52.94,False,False,False,False
RandomForest,120,20,WTI,1.3845,1.3892,0.338,49.52,49.33,0.19,0.0034,2.6713,52.94,True,False,True,False
RandomForest,120,20,STI,1.4042,1.3892,-1.08,49.71,49.33,0.38,-0.0107,2.7114,53.68,False,False,False,False
ExtraTrees,20,1,BI_Rate,0.505,0.5053,0.059,53.99,53.61,0.38,0.0006,0.9703,45.99,False,False,False,False
ExtraTrees,20,1,CPI,0.5056,0.5053,-0.059,53.23,53.61,-0.38,-0.0006,0.9716,48.91,False,False,False,False
ExtraTrees,20,1,M2,0.5056,0.5053,-0.059,52.09,53.61,-1.52,-0.0006,0.9717,48.91,False,False,False,False
ExtraTrees,20,1,NPL_Ratio,0.5055,0.5053,-0.04,52.28,53.61,-1.33,-0.0004,0.9713,48.91,False,False,False,False
ExtraTrees,20,1,USDIDR,0.505,0.5053,0.059,52.66,53.61,-0.95,0.0006,0.9704,47.45,False,False,False,False
ExtraTrees,20,1,GDP,0.505,0.5053,0.059,53.42,53.61,-0.19,0.0006,0.9703,44.53,False,False,False,False
ExtraTrees,20,1,US_Treasury_10Y,0.5071,0.5053,-0.356,51.71,53.61,-1.9,-0.0035,0.9743,48.18,False,False,False,False
ExtraTrees,20,1,Coal,0.505,0.5053,0.059,52.66,53.61,-0.95,0.0006,0.9704,45.99,False,False,False,False
ExtraTrees,20,1,Copper,0.5049,0.5053,0.079,52.85,53.61,-0.76,0.0008,0.9702,50.36,False,False,False,False
ExtraTrees,20,1,Nickel,0.5054,0.5053,-0.02,53.42,53.61,-0.19,-0.0002,0.971,46.72,False,False,False,False
ExtraTrees,20,1,Silver,0.5051,0.5053,0.04,56.27,53.61,2.66,0.0004,0.9705,53.28,False,True,True,False
ExtraTrees,20,1,Tin,0.5057,0.5053,-0.079,53.8,53.61,0.19,-0.0008,0.9718,47.45,False,False,False,False
ExtraTrees,20,1,Gold,0.5053,0.5053,0.0,52.09,53.61,-1.52,0.0,0.9709,50.36,False,False,False,False
ExtraTrees,20,1,WTI,0.5052,0.5053,0.02,51.9,53.61,-1.71,0.0002,0.9709,45.26,False,False,False,False
ExtraTrees,20,1,STI,0.5057,0.5053,-0.079,50.95,53.61,-2.66,-0.0008,0.9718,43.8,False,False,False,False
ExtraTrees,20,5,BI_Rate,0.8523,0.8533,0.117,48.09,47.71,0.38,0.0012,1.6375,51.09,False,False,False,False
ExtraTrees,20,5,CPI,0.8529,0.8533,0.047,48.28,47.71,0.57,0.0005,1.6389,52.55,False,False,False,False
ExtraTrees,20,5,M2,0.8532,0.8533,0.012,47.52,47.71,-0.19,0.0001,1.6394,51.82,False,False,False,False
ExtraTrees,20,5,NPL_Ratio,0.8524,0.8533,0.105,47.9,47.71,0.19,0.0011,1.6379,52.55,False,False,False,False
ExtraTrees,20,5,USDIDR,0.8535,0.8533,-0.023,48.09,47.71,0.38,-0.0002,1.6399,51.82,False,False,False,False
ExtraTrees,20,5,GDP,0.8523,0.8533,0.117,48.09,47.71,0.38,0.0012,1.6377,51.82,False,False,False,False
ExtraTrees,20,5,US_Treasury_10Y,0.8593,0.8533,-0.703,47.14,47.71,-0.57,-0.007,1.6506,51.09,False,False,False,False
ExtraTrees,20,5,Coal,0.8519,0.8533,0.164,48.09,47.71,0.38,0.0016,1.6368,52.55,False,False,False,False
ExtraTrees,20,5,Copper,0.8518,0.8533,0.176,49.05,47.71,1.34,0.0018,1.6366,55.47,False,True,True,False
ExtraTrees,20,5,Nickel,0.852,0.8533,0.152,48.09,47.71,0.38,0.0015,1.6371,51.09,False,False,False,False
ExtraTrees,20,5,Silver,0.8497,0.8533,0.422,49.43,47.71,1.72,0.0042,1.6324,56.93,True,True,True,True
ExtraTrees,20,5,Tin,0.8527,0.8533,0.07,47.71,47.71,0.0,0.0007,1.6383,53.28,False,False,False,False
ExtraTrees,20,5,Gold,0.8501,0.8533,0.375,48.66,47.71,0.95,0.0038,1.6335,53.28,True,False,True,False
ExtraTrees,20,5,WTI,0.852,0.8533,0.152,47.71,47.71,0.0,0.0015,1.6371,51.82,False,False,False,False
ExtraTrees,20,5,STI,0.8532,0.8533,0.012,47.9,47.71,0.19,0.0001,1.6393,51.09,False,False,False,False
ExtraTrees,20,20,BI_Rate,1.3875,1.385,-0.181,48.94,48.75,0.19,-0.0018,2.6778,53.68,False,False,False,False
ExtraTrees,20,20,CPI,1.3844,1.385,0.043,48.94,48.75,0.19,0.0004,2.6715,53.68,False,False,False,False
ExtraTrees,20,20,M2,1.3881,1.385,-0.224,48.94,48.75,0.19,-0.0022,2.6791,53.68,False,False,False,False
ExtraTrees,20,20,NPL_Ratio,1.3866,1.385,-0.116,48.75,48.75,0.0,-0.0012,2.6761,53.68,False,False,False,False
ExtraTrees,20,20,USDIDR,1.3878,1.385,-0.202,48.55,48.75,-0.2,-0.002,2.6785,53.68,False,False,False,False
ExtraTrees,20,20,GDP,1.3871,1.385,-0.152,48.94,48.75,0.19,-0.0015,2.6769,53.68,False,False,False,False
ExtraTrees,20,20,US_Treasury_10Y,1.4071,1.385,-1.596,48.55,48.75,-0.2,-0.0157,2.7154,52.21,False,False,False,False
ExtraTrees,20,20,Coal,1.3854,1.385,-0.029,48.75,48.75,0.0,-0.0003,2.6739,53.68,False,False,False,False
ExtraTrees,20,20,Copper,1.3843,1.385,0.051,49.13,48.75,0.38,0.0005,2.672,55.15,False,False,False,False
ExtraTrees,20,20,Nickel,1.3871,1.385,-0.152,49.13,48.75,0.38,-0.0015,2.677,53.68,False,False,False,False
ExtraTrees,20,20,Silver,1.387,1.385,-0.144,48.55,48.75,-0.2,-0.0014,2.6773,53.68,False,False,False,False
ExtraTrees,20,20,Tin,1.3872,1.385,-0.159,48.94,48.75,0.19,-0.0016,2.6772,54.41,False,False,False,False
ExtraTrees,20,20,Gold,1.3964,1.385,-0.823,48.55,48.75,-0.2,-0.0082,2.6947,52.94,False,False,False,False
ExtraTrees,20,20,WTI,1.3866,1.385,-0.116,48.94,48.75,0.19,-0.0012,2.6764,54.41,False,False,False,False
ExtraTrees,20,20,STI,1.3852,1.385,-0.014,48.75,48.75,0.0,-0.0001,2.6731,53.68,False,False,False,False
ExtraTrees,120,1,BI_Rate,0.5052,0.5058,0.119,55.13,52.28,2.85,0.0012,0.9709,51.09,False,True,True,False
ExtraTrees,120,1,CPI,0.505,0.5058,0.158,54.37,52.28,2.09,0.0016,0.9704,52.55,False,True,True,False
ExtraTrees,120,1,M2,0.5058,0.5058,0.0,52.47,52.28,0.19,0.0,0.972,51.09,False,False,False,False
ExtraTrees,120,1,NPL_Ratio,0.5061,0.5058,-0.059,52.09,52.28,-0.19,-0.0006,0.9725,49.64,False,False,False,False
ExtraTrees,120,1,USDIDR,0.5055,0.5058,0.059,53.42,52.28,1.14,0.0006,0.9713,47.45,False,True,True,False
ExtraTrees,120,1,GDP,0.5063,0.5058,-0.099,52.85,52.28,0.57,-0.001,0.9729,47.45,False,False,False,False
ExtraTrees,120,1,US_Treasury_10Y,0.5071,0.5058,-0.257,49.81,52.28,-2.47,-0.0026,0.9745,47.45,False,False,False,False
ExtraTrees,120,1,Coal,0.5054,0.5058,0.079,52.47,52.28,0.19,0.0008,0.9711,46.72,False,False,False,False
ExtraTrees,120,1,Copper,0.5054,0.5058,0.079,53.23,52.28,0.95,0.0008,0.9711,46.72,False,False,False,False
ExtraTrees,120,1,Nickel,0.506,0.5058,-0.04,50.95,52.28,-1.33,-0.0004,0.9723,47.45,False,False,False,False
ExtraTrees,120,1,Silver,0.5045,0.5058,0.257,53.99,52.28,1.71,0.0026,0.9693,50.36,False,True,True,False
ExtraTrees,120,1,Tin,0.5055,0.5058,0.059,53.04,52.28,0.76,0.0006,0.9714,43.8,False,False,False,False
ExtraTrees,120,1,Gold,0.5055,0.5058,0.059,52.09,52.28,-0.19,0.0006,0.9713,46.72,False,False,False,False
ExtraTrees,120,1,WTI,0.5051,0.5058,0.138,55.32,52.28,3.04,0.0014,0.9705,49.64,False,True,True,False
ExtraTrees,120,1,STI,0.5056,0.5058,0.04,52.47,52.28,0.19,0.0004,0.9716,47.45,False,False,False,False
ExtraTrees,120,5,BI_Rate,0.8517,0.8528,0.129,48.28,48.28,0.0,0.0013,1.6364,51.82,False,False,False,False
ExtraTrees,120,5,CPI,0.852,0.8528,0.094,48.28,48.28,0.0,0.0009,1.6372,52.55,False,False,False,False
ExtraTrees,120,5,M2,0.8526,0.8528,0.023,48.09,48.28,-0.19,0.0002,1.6382,51.82,False,False,False,False
ExtraTrees,120,5,NPL_Ratio,0.8548,0.8528,-0.235,47.14,48.28,-1.14,-0.0023,1.6424,52.55,False,False,False,False
ExtraTrees,120,5,USDIDR,0.8511,0.8528,0.199,48.28,48.28,0.0,0.002,1.635,52.55,False,False,False,False
ExtraTrees,120,5,GDP,0.8521,0.8528,0.082,48.47,48.28,0.19,0.0008,1.6371,52.55,False,False,False,False
ExtraTrees,120,5,US_Treasury_10Y,0.8561,0.8528,-0.387,47.9,48.28,-0.38,-0.0039,1.6446,52.55,False,False,False,False
ExtraTrees,120,5,Coal,0.8528,0.8528,0.0,47.71,48.28,-0.57,0.0,1.6384,52.55,False,False,False,False
ExtraTrees,120,5,Copper,0.853,0.8528,-0.023,48.66,48.28,0.38,-0.0002,1.6388,54.01,False,False,False,False
ExtraTrees,120,5,Nickel,0.8532,0.8528,-0.047,47.71,48.28,-0.57,-0.0005,1.6392,52.55,False,False,False,False
ExtraTrees,120,5,Silver,0.8528,0.8528,0.0,48.09,48.28,-0.19,0.0,1.6384,52.55,False,False,False,False
ExtraTrees,120,5,Tin,0.8529,0.8528,-0.012,47.33,48.28,-0.95,-0.0001,1.6387,52.55,False,False,False,False
ExtraTrees,120,5,Gold,0.8513,0.8528,0.176,47.9,48.28,-0.38,0.0018,1.6353,52.55,False,False,False,False
ExtraTrees,120,5,WTI,0.8519,0.8528,0.106,48.28,48.28,0.0,0.0011,1.6367,53.28,False,False,False,False
ExtraTrees,120,5,STI,0.8524,0.8528,0.047,48.09,48.28,-0.19,0.0005,1.6378,51.82,False,False,False,False
ExtraTrees,120,20,BI_Rate,1.3842,1.3843,0.007,49.33,49.33,0.0,0.0001,2.6709,54.41,False,False,False,False
ExtraTrees,120,20,CPI,1.395,1.3843,-0.773,49.33,49.33,0.0,-0.0077,2.6915,54.41,False,False,False,False
ExtraTrees,120,20,M2,1.3813,1.3843,0.217,49.71,49.33,0.38,0.0022,2.6656,54.41,False,False,False,False
ExtraTrees,120,20,NPL_Ratio,1.3766,1.3843,0.556,49.52,49.33,0.19,0.0056,2.6561,54.41,True,False,True,False
ExtraTrees,120,20,USDIDR,1.3833,1.3843,0.072,49.33,49.33,0.0,0.0007,2.6694,54.41,False,False,False,False
ExtraTrees,120,20,GDP,1.385,1.3843,-0.051,49.13,49.33,-0.2,-0.0005,2.6722,54.41,False,False,False,False
ExtraTrees,120,20,US_Treasury_10Y,1.3967,1.3843,-0.896,49.13,49.33,-0.2,-0.0089,2.695,53.68,False,False,False,False
ExtraTrees,120,20,Coal,1.3853,1.3843,-0.072,49.33,49.33,0.0,-0.0007,2.6731,53.68,False,False,False,False
ExtraTrees,120,20,Copper,1.3863,1.3843,-0.144,49.33,49.33,0.0,-0.0014,2.6754,54.41,False,False,False,False
ExtraTrees,120,20,Nickel,1.3851,1.3843,-0.058,48.94,49.33,-0.39,-0.0006,2.6727,53.68,False,False,False,False
ExtraTrees,120,20,Silver,1.385,1.3843,-0.051,48.75,49.33,-0.58,-0.0005,2.6723,52.94,False,False,False,False
ExtraTrees,120,20,Tin,1.3882,1.3843,-0.282,48.94,49.33,-0.39,-0.0028,2.6788,54.41,False,False,False,False
ExtraTrees,120,20,Gold,1.383,1.3843,0.094,49.33,49.33,0.0,0.0009,2.6689,53.68,False,False,False,False
ExtraTrees,120,20,WTI,1.3851,1.3843,-0.058,49.33,49.33,0.0,-0.0006,2.673,54.41,False,False,False,False
ExtraTrees,120,20,STI,1.3833,1.3843,0.072,49.13,49.33,-0.2,0.0007,2.669,54.41,False,False,False,False
XGBoost,20,1,BI_Rate,0.5035,0.5044,0.178,52.66,54.75,-2.09,0.0018,0.9675,54.74,False,False,False,False
XGBoost,20,1,CPI,0.5027,0.5044,0.337,55.89,54.75,1.14,0.0034,0.9658,54.74,True,True,True,True
XGBoost,20,1,M2,0.5037,0.5044,0.139,53.8,54.75,-0.95,0.0014,0.9678,56.93,False,False,False,False
XGBoost,20,1,NPL_Ratio,0.5029,0.5044,0.297,54.75,54.75,0.0,0.003,0.9662,56.2,False,False,False,False
XGBoost,20,1,USDIDR,0.5037,0.5044,0.139,52.66,54.75,-2.09,0.0014,0.9674,56.2,False,False,False,False
