Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,MAPE_Impr_pct,DA,Baseline_DA,DA_Impr_pp,Consistency,MASE,hit_large,Passed_MAPE,Passed_DA,Passed_Any,Passed_Both
XGBoost,20,5,STI,0.8581,0.8525,-0.657,45.8,47.33,-1.53,-0.0065,1.6483,50.36,False,False,False,False
XGBoost,20,20,BI_Rate,1.3896,1.3935,0.28,48.94,48.55,0.39,0.0028,2.6805,52.94,False,False,False,False
XGBoost,20,20,CPI,1.389,1.3935,0.323,48.75,48.55,0.2,0.0032,2.6793,51.47,True,False,True,False
XGBoost,20,20,M2,1.3939,1.3935,-0.029,48.55,48.55,0.0,-0.0003,2.6885,52.94,False,False,False,False
XGBoost,20,20,NPL_Ratio,1.3925,1.3935,0.072,48.55,48.55,0.0,0.0007,2.686,52.21,False,False,False,False
XGBoost,20,20,USDIDR,1.4063,1.3935,-0.919,48.17,48.55,-0.38,-0.0091,2.7122,52.94,False,False,False,False
XGBoost,20,20,GDP,1.39,1.3935,0.251,48.75,48.55,0.2,0.0025,2.6811,52.21,False,False,False,False
XGBoost,20,20,US_Treasury_10Y,1.4185,1.3935,-1.794,47.59,48.55,-0.96,-0.0176,2.739,52.94,False,False,False,False
XGBoost,20,20,Coal,1.3892,1.3935,0.309,48.75,48.55,0.2,0.0031,2.6803,55.15,True,False,True,False
XGBoost,20,20,Copper,1.3818,1.3935,0.84,48.55,48.55,0.0,0.0085,2.667,54.41,True,False,True,False
XGBoost,20,20,Nickel,1.3842,1.3935,0.667,49.13,48.55,0.58,0.0067,2.6696,55.15,True,False,True,False
XGBoost,20,20,Silver,1.3609,1.3935,2.339,50.48,48.55,1.93,0.024,2.6263,53.68,True,True,True,True
XGBoost,20,20,Tin,1.382,1.3935,0.825,48.55,48.55,0.0,0.0083,2.6682,54.41,True,False,True,False
XGBoost,20,20,Gold,1.3783,1.3935,1.091,49.9,48.55,1.35,0.011,2.6586,54.41,True,True,True,True
XGBoost,20,20,WTI,1.3908,1.3935,0.194,48.55,48.55,0.0,0.0019,2.6853,52.21,False,False,False,False
XGBoost,20,20,STI,1.3681,1.3935,1.823,48.55,48.55,0.0,0.0186,2.6393,52.21,True,False,True,False
XGBoost,120,1,BI_Rate,0.515,0.5148,-0.039,49.05,48.1,0.95,-0.0004,0.9889,51.82,False,False,False,False
XGBoost,120,1,CPI,0.5149,0.5148,-0.019,48.67,48.1,0.57,-0.0002,0.9891,52.55,False,False,False,False
XGBoost,120,1,M2,0.5147,0.5148,0.019,48.86,48.1,0.76,0.0002,0.9886,52.55,False,False,False,False
XGBoost,120,1,NPL_Ratio,0.5155,0.5148,-0.136,50.76,48.1,2.66,-0.0014,0.99,54.74,False,True,True,False
XGBoost,120,1,USDIDR,0.511,0.5148,0.738,51.14,48.1,3.04,0.0074,0.9812,51.09,True,True,True,True
XGBoost,120,1,GDP,0.5146,0.5148,0.039,47.72,48.1,-0.38,0.0004,0.9884,52.55,False,False,False,False
XGBoost,120,1,US_Treasury_10Y,0.5149,0.5148,-0.019,50.38,48.1,2.28,-0.0002,0.9895,48.18,False,True,True,False
XGBoost,120,1,Coal,0.5127,0.5148,0.408,48.67,48.1,0.57,0.0041,0.9848,57.66,True,False,True,False
XGBoost,120,1,Copper,0.5157,0.5148,-0.175,49.24,48.1,1.14,-0.0017,0.9905,48.91,False,True,True,False
XGBoost,120,1,Nickel,0.5203,0.5148,-1.068,48.1,48.1,0.0,-0.0106,0.9993,51.82,False,False,False,False
XGBoost,120,1,Silver,0.5111,0.5148,0.719,50.0,48.1,1.9,0.0072,0.9819,51.82,True,True,True,True
XGBoost,120,1,Tin,0.5044,0.5148,2.02,51.71,48.1,3.61,0.0206,0.9693,56.2,True,True,True,True
XGBoost,120,1,Gold,0.5106,0.5148,0.816,52.09,48.1,3.99,0.0082,0.9804,52.55,True,True,True,True
XGBoost,120,1,WTI,0.5126,0.5148,0.427,52.85,48.1,4.75,0.0043,0.9843,54.74,True,True,True,True
XGBoost,120,1,STI,0.5124,0.5148,0.466,50.38,48.1,2.28,0.0047,0.9839,51.82,True,True,True,True
XGBoost,120,5,BI_Rate,0.8601,0.861,0.105,48.28,48.85,-0.57,0.001,1.6516,54.74,False,False,False,False
XGBoost,120,5,CPI,0.8577,0.861,0.383,47.9,48.85,-0.95,0.0038,1.6467,56.2,True,False,True,False
XGBoost,120,5,M2,0.8568,0.861,0.488,46.95,48.85,-1.9,0.0049,1.6455,55.47,True,False,True,False
XGBoost,120,5,NPL_Ratio,0.854,0.861,0.813,46.56,48.85,-2.29,0.0082,1.6402,53.28,True,False,True,False
XGBoost,120,5,USDIDR,0.8654,0.861,-0.511,47.71,48.85,-1.14,-0.0051,1.6627,51.82,False,False,False,False
XGBoost,120,5,GDP,0.8593,0.861,0.197,46.76,48.85,-2.09,0.002,1.6501,52.55,False,False,False,False
XGBoost,120,5,US_Treasury_10Y,0.8648,0.861,-0.441,45.99,48.85,-2.86,-0.0044,1.6625,51.09,False,False,False,False
XGBoost,120,5,Coal,0.854,0.861,0.813,47.52,48.85,-1.33,0.0082,1.6408,54.01,True,False,True,False
XGBoost,120,5,Copper,0.871,0.861,-1.161,48.47,48.85,-0.38,-0.0115,1.6727,52.55,False,False,False,False
XGBoost,120,5,Nickel,0.853,0.861,0.929,48.85,48.85,0.0,0.0094,1.6384,56.2,True,False,True,False
XGBoost,120,5,Silver,0.8434,0.861,2.044,49.05,48.85,0.2,0.0209,1.6193,55.47,True,False,True,False
XGBoost,120,5,Tin,0.8636,0.861,-0.302,47.71,48.85,-1.14,-0.003,1.6601,54.74,False,False,False,False
XGBoost,120,5,Gold,0.8509,0.861,1.173,48.28,48.85,-0.57,0.0119,1.6335,52.55,True,False,True,False
XGBoost,120,5,WTI,0.8502,0.861,1.254,49.62,48.85,0.77,0.0127,1.631,55.47,True,False,True,False
XGBoost,120,5,STI,0.8449,0.861,1.87,46.76,48.85,-2.09,0.0191,1.623,54.74,True,False,True,False
XGBoost,120,20,BI_Rate,1.38,1.3899,0.712,47.78,47.78,0.0,0.0072,2.66,52.94,True,False,True,False
XGBoost,120,20,CPI,1.392,1.3899,-0.151,47.4,47.78,-0.38,-0.0015,2.6815,52.21,False,False,False,False
XGBoost,120,20,M2,1.3834,1.3899,0.468,47.98,47.78,0.2,0.0047,2.6662,52.94,True,False,True,False
XGBoost,120,20,NPL_Ratio,1.3841,1.3899,0.417,48.36,47.78,0.58,0.0042,2.6666,52.94,True,False,True,False
XGBoost,120,20,USDIDR,1.4447,1.3899,-3.943,46.44,47.78,-1.34,-0.0379,2.7814,49.26,False,False,False,False
XGBoost,120,20,GDP,1.3839,1.3899,0.432,47.78,47.78,0.0,0.0043,2.6677,52.21,True,False,True,False
XGBoost,120,20,US_Treasury_10Y,1.4511,1.3899,-4.403,47.01,47.78,-0.77,-0.0422,2.7981,52.94,False,False,False,False
XGBoost,120,20,Coal,1.3999,1.3899,-0.719,48.94,47.78,1.16,-0.0071,2.6963,52.21,False,True,True,False
XGBoost,120,20,Copper,1.3887,1.3899,0.086,48.75,47.78,0.97,0.0009,2.6755,51.47,False,False,False,False
XGBoost,120,20,Nickel,1.4466,1.3899,-4.079,47.98,47.78,0.2,-0.0392,2.7891,50.74,False,False,False,False
XGBoost,120,20,Silver,1.3803,1.3899,0.691,48.17,47.78,0.39,0.007,2.6578,51.47,True,False,True,False
XGBoost,120,20,Tin,1.3816,1.3899,0.597,48.55,47.78,0.77,0.006,2.6633,53.68,True,False,True,False
XGBoost,120,20,Gold,1.3679,1.3899,1.583,50.1,47.78,2.32,0.0161,2.6334,54.41,True,True,True,True
XGBoost,120,20,WTI,1.3789,1.3899,0.791,47.98,47.78,0.2,0.008,2.6599,52.21,True,False,True,False
XGBoost,120,20,STI,1.3547,1.3899,2.533,48.75,47.78,0.97,0.026,2.6149,55.15,True,False,True,False
LightGBM,20,1,BI_Rate,0.5046,0.5046,0.0,54.18,54.18,0.0,0.0,0.9697,51.82,False,False,False,False
LightGBM,20,1,CPI,0.5047,0.5046,-0.02,53.99,54.18,-0.19,-0.0002,0.9698,52.55,False,False,False,False
LightGBM,20,1,M2,0.5047,0.5046,-0.02,53.99,54.18,-0.19,-0.0002,0.9698,52.55,False,False,False,False
LightGBM,20,1,NPL_Ratio,0.5047,0.5046,-0.02,53.99,54.18,-0.19,-0.0002,0.9698,52.55,False,False,False,False
LightGBM,20,1,USDIDR,0.5028,0.5046,0.357,53.42,54.18,-0.76,0.0036,0.9659,52.55,True,False,True,False
LightGBM,20,1,GDP,0.5047,0.5046,-0.02,53.99,54.18,-0.19,-0.0002,0.9698,52.55,False,False,False,False
LightGBM,20,1,US_Treasury_10Y,0.5076,0.5046,-0.595,52.66,54.18,-1.52,-0.0059,0.9755,54.01,False,False,False,False
LightGBM,20,1,Coal,0.5043,0.5046,0.059,50.76,54.18,-3.42,0.0006,0.969,54.01,False,False,False,False
LightGBM,20,1,Copper,0.5085,0.5046,-0.773,51.14,54.18,-3.04,-0.0077,0.9768,56.2,False,False,False,False
LightGBM,20,1,Nickel,0.5107,0.5046,-1.209,49.81,54.18,-4.37,-0.0119,0.9814,48.91,False,False,False,False
LightGBM,20,1,Silver,0.5034,0.5046,0.238,55.13,54.18,0.95,0.0024,0.9673,56.2,False,False,False,False
LightGBM,20,1,Tin,0.5041,0.5046,0.099,52.28,54.18,-1.9,0.001,0.9686,57.66,False,False,False,False
LightGBM,20,1,Gold,0.5041,0.5046,0.099,52.47,54.18,-1.71,0.001,0.9686,54.01,False,False,False,False
LightGBM,20,1,WTI,0.5047,0.5046,-0.02,55.51,54.18,1.33,-0.0002,0.9696,56.2,False,True,True,False
LightGBM,20,1,STI,0.5054,0.5046,-0.159,50.95,54.18,-3.23,-0.0016,0.971,46.72,False,False,False,False
LightGBM,20,5,BI_Rate,0.8531,0.8531,0.0,48.28,48.28,0.0,0.0,1.6389,51.09,False,False,False,False
LightGBM,20,5,CPI,0.8528,0.8531,0.035,48.28,48.28,0.0,0.0004,1.6386,51.82,False,False,False,False
LightGBM,20,5,M2,0.8528,0.8531,0.035,48.28,48.28,0.0,0.0004,1.6386,51.82,False,False,False,False
LightGBM,20,5,NPL_Ratio,0.8528,0.8531,0.035,48.28,48.28,0.0,0.0004,1.6386,51.82,False,False,False,False
LightGBM,20,5,USDIDR,0.8471,0.8531,0.703,48.47,48.28,0.19,0.0071,1.6273,55.47,True,False,True,False
LightGBM,20,5,GDP,0.8528,0.8531,0.035,48.28,48.28,0.0,0.0004,1.6386,51.82,False,False,False,False
LightGBM,20,5,US_Treasury_10Y,0.8572,0.8531,-0.481,46.56,48.28,-1.72,-0.0048,1.6471,52.55,False,False,False,False
LightGBM,20,5,Coal,0.8442,0.8531,1.043,49.05,48.28,0.77,0.0105,1.6221,56.93,True,False,True,False
LightGBM,20,5,Copper,0.8565,0.8531,-0.399,47.14,48.28,-1.14,-0.004,1.6459,53.28,False,False,False,False
LightGBM,20,5,Nickel,0.8459,0.8531,0.844,48.28,48.28,0.0,0.0085,1.6261,54.01,True,False,True,False
LightGBM,20,5,Silver,0.8408,0.8531,1.442,48.85,48.28,0.57,0.0146,1.6147,54.74,True,False,True,False
LightGBM,20,5,Tin,0.8504,0.8531,0.316,46.95,48.28,-1.33,0.0032,1.6337,54.01,True,False,True,False
LightGBM,20,5,Gold,0.8399,0.8531,1.547,45.23,48.28,-3.05,0.0157,1.6132,52.55,True,False,True,False
LightGBM,20,5,WTI,0.8502,0.8531,0.34,49.24,48.28,0.96,0.0034,1.6335,55.47,True,False,True,False
LightGBM,20,5,STI,0.8479,0.8531,0.61,46.37,48.28,-1.91,0.0061,1.629,49.64,True,False,True,False
LightGBM,20,20,BI_Rate,1.3996,1.3996,0.0,49.33,49.33,0.0,0.0,2.7006,52.21,False,False,False,False
LightGBM,20,20,CPI,1.3974,1.3996,0.157,49.52,49.33,0.19,0.0016,2.6964,52.21,False,False,False,False
LightGBM,20,20,M2,1.3974,1.3996,0.157,49.52,49.33,0.19,0.0016,2.6964,52.21,False,False,False,False
LightGBM,20,20,NPL_Ratio,1.3974,1.3996,0.157,49.52,49.33,0.19,0.0016,2.6964,52.21,False,False,False,False
LightGBM,20,20,USDIDR,1.4106,1.3996,-0.786,49.52,49.33,0.19,-0.0078,2.7216,54.41,False,False,False,False
LightGBM,20,20,GDP,1.3974,1.3996,0.157,49.52,49.33,0.19,0.0016,2.6964,52.21,False,False,False,False
LightGBM,20,20,US_Treasury_10Y,1.423,1.3996,-1.672,48.55,49.33,-0.78,-0.0164,2.7468,52.21,False,False,False,False
LightGBM,20,20,Coal,1.4002,1.3996,-0.043,48.94,49.33,-0.39,-0.0004,2.7026,56.62,False,False,False,False
LightGBM,20,20,Copper,1.3871,1.3996,0.893,49.33,49.33,0.0,0.009,2.6785,55.15,True,False,True,False
LightGBM,20,20,Nickel,1.3933,1.3996,0.45,49.52,49.33,0.19,0.0045,2.6894,55.15,True,False,True,False
LightGBM,20,20,Silver,1.3645,1.3996,2.508,49.71,49.33,0.38,0.0257,2.6331,53.68,True,False,True,False
LightGBM,20,20,Tin,1.3867,1.3996,0.922,48.75,49.33,-0.58,0.0093,2.6769,52.94,True,False,True,False
LightGBM,20,20,Gold,1.3852,1.3996,1.029,50.87,49.33,1.54,0.0104,2.6741,54.41,True,True,True,True
LightGBM,20,20,WTI,1.3892,1.3996,0.743,48.55,49.33,-0.78,0.0075,2.6828,52.94,True,False,True,False
LightGBM,20,20,STI,1.3819,1.3996,1.265,48.17,49.33,-1.16,0.0128,2.6665,53.68,True,False,True,False
LightGBM,120,1,BI_Rate,0.5099,0.5099,0.0,50.57,50.57,0.0,0.0,0.9796,56.93,False,False,False,False
LightGBM,120,1,CPI,0.5098,0.5099,0.02,50.76,50.57,0.19,0.0002,0.9794,55.47,False,False,False,False
LightGBM,120,1,M2,0.5102,0.5099,-0.059,50.95,50.57,0.38,-0.0006,0.9802,57.66,False,False,False,False
LightGBM,120,1,NPL_Ratio,0.5102,0.5099,-0.059,50.95,50.57,0.38,-0.0006,0.9802,57.66,False,False,False,False
LightGBM,120,1,USDIDR,0.5094,0.5099,0.098,48.48,50.57,-2.09,0.001,0.9785,48.18,False,False,False,False
LightGBM,120,1,GDP,0.5102,0.5099,-0.059,50.95,50.57,0.38,-0.0006,0.9802,57.66,False,False,False,False
LightGBM,120,1,US_Treasury_10Y,0.5123,0.5099,-0.471,53.04,50.57,2.47,-0.0047,0.9844,58.39,False,True,True,False
LightGBM,120,1,Coal,0.5138,0.5099,-0.765,50.0,50.57,-0.57,-0.0076,0.9873,59.12,False,False,False,False
LightGBM,120,1,Copper,0.5146,0.5099,-0.922,50.38,50.57,-0.19,-0.0091,0.9885,54.74,False,False,False,False
LightGBM,120,1,Nickel,0.5152,0.5099,-1.039,48.86,50.57,-1.71,-0.0103,0.9897,50.36,False,False,False,False
LightGBM,120,1,Silver,0.505,0.5099,0.961,53.42,50.57,2.85,0.0097,0.9702,53.28,True,True,True,True
LightGBM,120,1,Tin,0.5047,0.5099,1.02,52.28,50.57,1.71,0.0103,0.9699,56.93,True,True,True,True
LightGBM,120,1,Gold,0.5076,0.5099,0.451,50.76,50.57,0.19,0.0045,0.9751,52.55,True,False,True,False
LightGBM,120,1,WTI,0.5121,0.5099,-0.431,52.85,50.57,2.28,-0.0043,0.9834,54.74,False,True,True,False
LightGBM,120,1,STI,0.5066,0.5099,0.647,52.66,50.57,2.09,0.0065,0.973,51.09,True,True,True,True
LightGBM,120,5,BI_Rate,0.8514,0.8514,0.0,47.52,47.52,0.0,0.0,1.6353,54.74,False,False,False,False
LightGBM,120,5,CPI,0.8526,0.8514,-0.141,48.09,47.52,0.57,-0.0014,1.6376,54.74,False,False,False,False
LightGBM,120,5,M2,0.8518,0.8514,-0.047,47.9,47.52,0.38,-0.0005,1.636,54.74,False,False,False,False
LightGBM,120,5,NPL_Ratio,0.8518,0.8514,-0.047,47.9,47.52,0.38,-0.0005,1.636,54.74,False,False,False,False
LightGBM,120,5,USDIDR,0.8494,0.8514,0.235,48.66,47.52,1.14,0.0024,1.6321,54.74,False,True,True,False
LightGBM,120,5,GDP,0.8518,0.8514,-0.047,47.9,47.52,0.38,-0.0005,1.636,54.74,False,False,False,False
LightGBM,120,5,US_Treasury_10Y,0.8701,0.8514,-2.196,47.14,47.52,-0.38,-0.0215,1.672,51.82,False,False,False,False
LightGBM,120,5,Coal,0.8558,0.8514,-0.517,48.47,47.52,0.95,-0.0051,1.6455,55.47,False,False,False,False
LightGBM,120,5,Copper,0.8655,0.8514,-1.656,47.52,47.52,0.0,-0.0163,1.6627,51.82,False,False,False,False
LightGBM,120,5,Nickel,0.8505,0.8514,0.106,48.66,47.52,1.14,0.0011,1.6346,56.93,False,True,True,False
LightGBM,120,5,Silver,0.844,0.8514,0.869,48.47,47.52,0.95,0.0088,1.6199,55.47,True,False,True,False
LightGBM,120,5,Tin,0.8577,0.8514,-0.74,48.09,47.52,0.57,-0.0073,1.6484,55.47,False,False,False,False
LightGBM,120,5,Gold,0.837,0.8514,1.691,45.61,47.52,-1.91,0.0172,1.6068,51.09,True,False,True,False
LightGBM,120,5,WTI,0.8474,0.8514,0.47,50.57,47.52,3.05,0.0047,1.6273,58.39,True,True,True,True
LightGBM,120,5,STI,0.8401,0.8514,1.327,47.9,47.52,0.38,0.0135,1.6136,54.74,True,False,True,False
LightGBM,120,20,BI_Rate,1.3849,1.3849,0.0,47.21,47.21,0.0,0.0,2.6692,52.94,False,False,False,False
LightGBM,120,20,CPI,1.392,1.3849,-0.513,47.4,47.21,0.19,-0.0051,2.6826,52.94,False,False,False,False
LightGBM,120,20,M2,1.3899,1.3849,-0.361,47.59,47.21,0.38,-0.0036,2.6787,52.94,False,False,False,False
LightGBM,120,20,NPL_Ratio,1.3899,1.3849,-0.361,47.59,47.21,0.38,-0.0036,2.6787,52.94,False,False,False,False
LightGBM,120,20,USDIDR,1.4166,1.3849,-2.289,47.4,47.21,0.19,-0.0224,2.7297,50.0,False,False,False,False
LightGBM,120,20,GDP,1.3899,1.3849,-0.361,47.59,47.21,0.38,-0.0036,2.6787,52.94,False,False,False,False
LightGBM,120,20,US_Treasury_10Y,1.4184,1.3849,-2.419,47.98,47.21,0.77,-0.0236,2.736,52.21,False,False,False,False
LightGBM,120,20,Coal,1.38,1.3849,0.354,48.17,47.21,0.96,0.0036,2.6604,51.47,True,False,True,False
LightGBM,120,20,Copper,1.4067,1.3849,-1.574,48.36,47.21,1.15,-0.0155,2.7143,52.94,False,True,True,False
LightGBM,120,20,Nickel,1.4265,1.3849,-3.004,48.75,47.21,1.54,-0.0292,2.7515,52.94,False,True,True,False
LightGBM,120,20,Silver,1.377,1.3849,0.57,47.98,47.21,0.77,0.0057,2.6513,50.0,True,False,True,False
LightGBM,120,20,Tin,1.3916,1.3849,-0.484,47.78,47.21,0.57,-0.0048,2.6825,50.0,False,False,False,False
LightGBM,120,20,Gold,1.3712,1.3849,0.989,49.52,47.21,2.31,0.01,2.6399,50.0,True,True,True,True
LightGBM,120,20,WTI,1.3853,1.3849,-0.029,48.55,47.21,1.34,-0.0003,2.6742,53.68,False,True,True,False
LightGBM,120,20,STI,1.3771,1.3849,0.563,47.78,47.21,0.57,0.0057,2.6575,53.68,True,False,True,False
