feature,importance,covariate_set,scenario
BI_Rate_lag_40,0.0022348033538976556,Macro_Regional,W120_H1
IHSG_lag_108,0.0022149014641899083,Macro_Regional,W120_H1
IHSG_lag_95,0.0022112012348289283,Macro_Regional,W120_H1
IHSG_lag_80,0.002176622420717156,Macro_Regional,W120_H1
STI_lag_20,0.0021595344393744794,Macro_Regional,W120_H1
USDIDR_lag_99,0.00210514022028804,Macro_Regional,W120_H1
BI_Rate_lag_35,0.0020962729615596793,Macro_Regional,W120_H1
BI_Rate_lag_68,0.002088176456620554,Macro_Regional,W120_H1
GDP_lag_63,0.0020778406483872368,Macro_Regional,W120_H1
CPI_lag_82,0.0020676504081623913,Macro_Regional,W120_H1
GDP_lag_76,0.0020224039474926073,Macro_Regional,W120_H1
NPL_Ratio_lag_72,0.002019430230419906,Macro_Regional,W120_H1
NPL_Ratio_lag_48,0.0020150670435747408,Macro_Regional,W120_H1
STI_lag_1,0.0020086970549563535,Macro_Regional,W120_H1
NPL_Ratio_lag_112,0.0019816655893165162,Macro_Regional,W120_H1
GDP_lag_106,0.0019648815754958445,Macro_Regional,W120_H1
US_Treasury_10Y_lag_52,0.0019420311948548815,Macro_Regional,W120_H1
USDIDR_lag_27,0.0019183556392783224,Macro_Regional,W120_H1
USDIDR_lag_73,0.0019064656586824471,Macro_Regional,W120_H1
USDIDR_lag_16,0.0019041331458501125,Macro_Regional,W120_H1
CPI_lag_8,0.0018922000013688214,Macro_Regional,W120_H1
IHSG_lag_36,0.0018843675765373626,Macro_Regional,W120_H1
STI_lag_41,0.0018835431584844887,Macro_Regional,W120_H1
US_Treasury_10Y_lag_36,0.0018509640927961723,Macro_Regional,W120_H1
NPL_Ratio_lag_14,0.0018497884131883266,Macro_Regional,W120_H1
US_Treasury_10Y_lag_72,0.0018395761544990502,Macro_Regional,W120_H1
M2_lag_24,0.001828143363724069,Macro_Regional,W120_H1
US_Treasury_10Y_lag_7,0.0018157864800600163,Macro_Regional,W120_H1
IHSG_lag_91,0.0018055279389887608,Macro_Regional,W120_H1
M2_lag_42,0.0017843862373584818,Macro_Regional,W120_H1
US_Treasury_10Y_lag_88,0.0017740084830633652,Macro_Regional,W120_H1
NPL_Ratio_lag_34,0.0017633545060610687,Macro_Regional,W120_H1
IHSG_lag_96,0.0017310913321902457,Macro_Regional,W120_H1
IHSG_lag_73,0.0017249842875023311,Macro_Regional,W120_H1
US_Treasury_10Y_lag_89,0.0017226211748571061,Macro_Regional,W120_H1
NPL_Ratio_lag_52,0.0016998422892461865,Macro_Regional,W120_H1
USDIDR_lag_24,0.0016946704294540885,Macro_Regional,W120_H1
US_Treasury_10Y_lag_106,0.0016836617871655159,Macro_Regional,W120_H1
STI_lag_8,0.0016570857903865734,Macro_Regional,W120_H1
CPI_lag_78,0.0016511087341533116,Macro_Regional,W120_H1
NPL_Ratio_lag_47,0.0016489050128263155,Macro_Regional,W120_H1
GDP_lag_88,0.0016225209733160165,Macro_Regional,W120_H1
STI_lag_105,0.0016160977023725691,Macro_Regional,W120_H1
NPL_Ratio_lag_88,0.001604993189940561,Macro_Regional,W120_H1
NPL_Ratio_lag_40,0.0015847454309605713,Macro_Regional,W120_H1
US_Treasury_10Y_lag_4,0.0015633793949653917,Macro_Regional,W120_H1
STI_lag_18,0.0015615820902145732,Macro_Regional,W120_H1
BI_Rate_lag_25,0.0015440819349495478,Macro_Regional,W120_H1
US_Treasury_10Y_lag_84,0.0015212723261876031,Macro_Regional,W120_H1
NPL_Ratio_lag_44,0.0015082944135154075,Macro_Regional,W120_H1
US_Treasury_10Y_lag_2,0.0015051750578498383,Macro_Regional,W120_H1
