Scenario,Target,Algorithm,MAE,RMSE,MAPE,R²,Dir_Acc
Level + RF,Level,RF,241.6961151046032,306.0728788148085,3.3440526468368534,-0.3220872468537457,37.5
Level + XGB,Level,XGB,282.41935421875,351.1986648518836,3.9052782469640954,-0.7406687460594381,41.66666666666667
Return + RF,Return,RF,1.9875953392528138,2.5889028227038473,156.07986593622206,0.036083799578758846,33.33333333333333
Return + XGB,Return,XGB,1.932679470192323,2.575321725584819,150.67623007410685,0.04617046822246007,37.5
