Category,Mean_Abs_SHAP
IHSG_Lags,0.7086381597000813
STI,0.012230824659610387
Nickel,0.0077472626989018665
Gold,0.004225326539365246
Coal,0.0028863225952602475
Silver,0.002864991206339738
Tin,0.0025208910259535986
Copper,0.00191095312130955
