Metric,Random Forest,XGBoost,Winner
MAPE (%),3.092538230671682,3.4241644285792656,RF
RMSE (points),277.6745160451399,310.94664245289823,RF
MAE (points),222.16774167968265,248.29979624999984,RF
sMAPE (%),3.1312341819413323,3.5098173029517654,RF
R²,-0.08813421519960651,-0.36452709166280983,RF
Directional Acc (%),58.333333333333336,45.83333333333333,RF
