Date,IHSG_target_lag-1,STI_pastcov_lag-3,Gold_pastcov_lag-3,Coal_pastcov_lag-3,Copper_pastcov_lag-3,Silver_pastcov_lag-3,Tin_pastcov_lag-3,Nickel_pastcov_lag-3,STI_pastcov_lag-2,Gold_pastcov_lag-2,Coal_pastcov_lag-2,Copper_pastcov_lag-2,Silver_pastcov_lag-2,Tin_pastcov_lag-2,Nickel_pastcov_lag-2,STI_pastcov_lag-1,Gold_pastcov_lag-1,Coal_pastcov_lag-1,Copper_pastcov_lag-1,Silver_pastcov_lag-1,Tin_pastcov_lag-1,Nickel_pastcov_lag-1
2023-10-19,0.5352028878458749,0.0016738842780927722,0.002055490180957399,-0.0007490419566235655,-0.0005992089123029792,-0.00038008005346291317,0.0007041482918518293,0.03426875041531698,0.002831406427532773,-0.0006169801375664406,-0.0013555767882430794,-0.0003556116337952177,3.914739913567768e-05,-0.00019412450203683468,-0.0022838868883097016,0.003334494961251773,-0.0006452982007134476,0.0005522301142415078,-0.0002622279046810649,0.000404855898910528,3.5555427249644065e-05,0.0005945600448322153
2023-10-20,0.5356870500932764,0.0015203628112429144,0.002357550483368458,-0.0007490751893820274,-0.0005385100304364211,-0.000282129446923725,0.000694280979132951,0.03190512001800248,0.002946044582816509,-0.0004373772799318224,-0.0013601086973873849,-0.00040872319254938203,3.612290001088586e-05,-0.00019285180823461402,-0.0021690508645458495,0.003987795211732534,-0.000653918489220844,0.0007420442493849032,-0.0002554817668052686,0.0003924726989940646,2.6995572807363605e-05,0.0006090374266076714
2023-10-23,0.5617891334713068,-0.0008456746460942198,0.0021844040915222672,-0.001740777788076204,-0.00014661251094814397,0.00033625597654179235,0.0005592974023281887,0.01021745029216021,4.439592915407792e-05,0.0015576830279266287,-0.0009394617204409327,-0.0007185774513702767,3.6097820844145934e-05,-0.00046202909161233076,-0.001308698758960371,-0.0005213260235970298,-0.000562182636793033,-0.00036394956427795934,-0.0004421483665931829,0.00024493706707302083,0.0002714308841299471,0.0005725095646636901
2023-10-24,0.47067200436842915,0.004716209352285583,0.0076384579481255975,-0.0009201806951072948,0.0034837383134860905,-0.0001905154205952429,0.0008126487088081422,0.002909081200002259,0.00014530586793609762,0.00018755647459597235,-0.0013693184967682708,-0.0003083458342375405,2.403667968558277e-05,-0.0002792836837909946,0.0008725250682377649,2.2440172903819553e-05,-0.0005234499158401551,-0.0005230986515776197,-0.00010998473442357577,4.9605915069117624e-05,7.681570006273188e-05,4.721461339643481e-05
2023-10-25,0.5356112293369092,0.0015116898919093364,0.0020566875075768887,-0.0007495768964069446,-0.0004975845072225489,-0.00039564001727143293,0.0007087842721435705,0.03377089231112967,0.002942429235987819,-0.0009788572205642714,-0.001350043129047443,-0.0004074429794815472,3.305870789417259e-05,-0.00018879212553835745,-0.002073000707467838,0.0032831865012963334,-0.0006417529657159601,0.0005659200406211511,-0.00033602403957517753,0.00039294086670441867,5.4132984304263845e-05,0.0006066015084734823
2023-10-26,0.5361557297770694,0.0018765555260396676,0.0020273018919179267,-0.0007221767387027109,-0.0004901253583595692,-0.0003953090624134959,0.0007338646333964973,0.03158406430772478,0.0029312856439276712,-0.0005287479519912759,-0.001359956798343733,-0.00040277479145723076,3.5399352549885916e-05,-0.00021643690058737006,-0.002087130727912911,0.003862399879618461,-0.0006394525672818926,0.0008244209670667858,-0.00035894432010164824,0.00044459491936677507,3.35812498113075e-05,0.0006106956453220606
2023-10-27,0.5358452144988722,0.001879219604745172,0.002558698421907503,-0.0007263209738532145,-0.0005421912497697317,-0.00041061793683585775,0.0007393263423745851,0.03392936174071068,0.0029066424100362,-0.0008491383087496701,-0.0014012146268904766,-0.0004162769503166613,3.4849479596135596e-05,-0.00021491645501268985,-0.001670271855000296,0.0017478951881969354,-0.0006337042998209876,0.000584130645130058,-0.0003231169949804137,0.00030262892627706437,-3.09903718762436e-07,0.0005789508737590579
2023-10-30,0.4326102421367385,-0.0006942710575686162,0.0021260149259787996,0.00022196948635907191,-0.0006862863391848411,-0.00034239145462243887,0.0007512881539976014,0.0035444723689357807,-0.014652071208668679,0.0002862913639823851,-0.002910766129515988,-0.0004059286244693884,9.385526065047767e-05,-0.00032660244738429915,0.0013712857562310577,-0.0022620949017304963,-0.0005676630267368924,-0.00030123578083001893,-0.00028460377547505377,0.0004279239134818624,-0.0005269858112450788,-0.0016037251652795846
2023-10-31,0.5347040584109773,0.001887829662578009,0.002034229518976958,-0.0007478060115965282,-0.00047649122044111437,-0.00039359985532976736,0.0006801137564832984,0.034602865460713665,0.0028219035942822993,-0.0005781015661285013,-0.0014038462345997732,-0.0004108594035389918,2.777426966653975e-05,-0.0003043420853551139,-0.002150563809573603,0.0030802412025722533,-0.0006327957211826791,0.0005947082257050692,-0.00034018228363681755,0.0003703798050246809,-3.18874646665994e-05,0.0005852103257275938
2023-11-01,0.5359209963094761,0.0016871055742150147,0.0022945875748219273,-0.0007602147288730401,-0.000515984565726432,-0.0003598157903345278,0.000646394077862995,0.03238284372036119,0.0027597913424943455,-0.0003074805318655247,-0.001395760408367414,-0.00041346367693917934,-2.1909683485741937e-06,-0.00020139757949557693,-0.0026889396716424582,0.004007981443457292,-0.0006170584682556233,0.0007375606162904047,-0.000316777308894802,0.0004537188181998141,-5.086707606402785e-05,0.0005966215595834081
