Date,Actual,Predicted,Error,Absolute_Error,Percentage_Error
2023-01-31,6839.342,6981.16048952752,-141.8184895275208,141.8184895275208,-2.073569204866796
2023-02-28,6843.2390000000005,6986.331355647027,-143.09235564702612,143.09235564702612,-2.091003334050237
2023-03-31,6805.277,6987.830243980359,-182.55324398035918,182.55324398035918,-2.6825248109718265
2023-04-30,6915.715999999999,6988.952738099407,-73.23673809940738,73.23673809940738,-1.0589899599608685
2023-05-31,6633.261,6976.743532198614,-343.4825321986136,343.4825321986136,-5.1781850917461805
2023-06-30,6661.879,6941.595089274147,-279.7160892741467,279.7160892741467,-4.198756676219228
2023-07-31,6931.359,6930.310928440815,1.0480715591857006,1.0480715591857006,0.015120722490145158
2023-08-31,6953.26,6922.548632246233,30.711367753767263,30.711367753767263,0.4416830055796455
2023-09-30,6939.892,6921.0995797724245,18.79242022757535,18.79242022757535,0.27078836713273563
2023-10-31,6752.211000000001,6914.055028204432,-161.8440282044312,161.8440282044312,-2.39690418744958
2023-11-30,7080.741,6932.9466768703205,147.79432312967947,147.79432312967947,2.087271983676277
2023-12-31,7272.797,6954.773985795455,318.0230142045448,318.0230142045448,4.372774521336767
2024-01-31,7207.941,6953.073492200217,254.8675077997832,254.8675077997832,3.535926664768527
2024-02-29,7316.111,6932.823004176407,383.2879958235926,383.2879958235926,5.238958181793478
2024-03-31,7288.813,6938.338806724026,350.47419327597436,350.47419327597436,4.808385031636487
2024-04-30,7234.197,6938.541217974026,295.6557820259741,295.6557820259741,4.086919142870647
2024-05-31,6970.736,6920.030983727995,50.705016272005196,50.705016272005196,0.7273983159311326
2024-06-30,7063.577,6926.582915656566,136.99408434343422,136.99408434343422,1.9394434907899245
2024-07-31,7255.762,6942.6201314899,313.1418685100998,313.1418685100998,4.31576819237042
2024-08-31,7670.733,6935.217658251804,735.5153417481961,735.5153417481961,9.588592664458483
2024-09-30,7527.929,6918.530704585137,609.3982954148632,609.3982954148632,8.095165289349344
2024-10-31,7574.018999999999,6938.150616724026,635.8683832759734,635.8683832759734,8.395389333931872
2024-11-30,7114.266,6937.091537974026,177.1744620259733,177.1744620259733,2.4904109858413124
2024-12-31,7079.905,6939.215679402597,140.6893205974029,140.6893205974029,1.9871639604966862
2025-01-31,7109.196,6941.921161902597,167.2748380974026,167.2748380974026,2.352936085844343
