Money Type,,,,,,,,,,,,,
,Money Supply (Billion Rupiahs),,,,,,,,,,,,
,2023,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
i. Currency,830372.89,813834.01,832816.67,895719.17,859516.58,879805.3,853335.77,851722.76,865391.95,863101.9,893164.75,975927.76,-
ii. Demand Deposits,1591801,1589759.53,1575602.24,1577150.29,1563801.38,1586287.77,1584722.99,1559128.11,1616837.07,1634608.41,1617603.18,1699405.53,-
Total (M1 = i+ii),2422174,2403593.54,2408418.91,2472869.46,2423317.96,2466093.07,2438058.76,2410850.87,2482229.03,2497710.3,2510759.32,2675333.28,-
iii. Currency Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Demand Deposits Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Quasi Money,5822056.38,5871477.45,5861270.6,5856023.25,5890062.29,5883280.25,5884766.98,5926010.85,5933580.45,5981916.52,6036312.9,6122584.9,-
vi. Securities Except Stocks,27607.55,25577.39,23593.71,23456.96,22790.53,23701.5,26666.58,27877.61,25426.96,26917.23,27836.25,28612.81,-
Total (M2 = M1 + v + vi),8271838.1,8300648.37,8293283.23,8352349.68,8336170.79,8372990.32,8349492.32,8364739,8441236.44,8506544.06,8574917.1,8826531,-
