Money Type,,,,,,,,,,,,,
,Money Supply (Billion Rupiahs),,,,,,,,,,,,
,2014,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
i. Currency,380070.16,367651.74,377437.65,372341.57,380473.75,381637.54,452787.99,399270.22,395229.5,396112.97,405694.05,419261.84,-
ii. Demand Deposits,462607.75,466880.66,476064.75,508128.73,526252.94,564080.28,465777.81,496556.9,553938.83,544235.76,549840.94,522959.5,-
Total (M1 = i+ii),842677.91,834532.41,853502.4,880470.3,906726.69,945717.83,918565.8,895827.12,949168.33,940348.73,955534.99,942221.34,-
iii. Currency Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Demand Deposits Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Quasi Money,2787448.74,2787035.11,2785176.08,2828686.33,2860134.66,2903415.24,2959731.62,2982674.31,3044841.88,3066421.47,3099350.37,3209475.23,-
vi. Securities Except Stocks,22222.63,21491.94,21927.5,21219.81,22417.29,16757.55,17683.79,16872.93,16136.45,17718.67,21784.52,21629.93,-
Total (M2 = M1 + v + vi),3652349.28,3643059.46,3660605.98,3730376.45,3789278.64,3865890.61,3895981.2,3895374.36,4010146.66,4024488.87,4076669.88,4173326.5,-
