Money Type,,,,,,,,,,,,,
,Money Supply (Billion Rupiahs),,,,,,,,,,,,
,2015,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
i. Currency,391255.5,387889.28,382004.92,395686.64,406499.02,409713.13,431459.9,423101.29,428860.24,435065.11,437756.2,469534.21,-
ii. Demand Deposits,526823.99,539958.25,575575.54,563689.82,574416.28,629804.84,600445.93,603221.62,634178.47,601245.57,613434.53,585905.61,-
Total (M1 = i+ii),918079.49,927847.53,957580.46,959376.46,980915.3,1039517.98,1031905.82,1026322.91,1063038.71,1036310.68,1051190.74,1055439.82,-
iii. Currency Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Demand Deposits Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Quasi Money,3233880.64,3278944.55,3275498.61,3302203.6,3293146.51,3305640.77,3325908.12,3362147.57,3426343.21,3391259.66,3386209.23,3479961.39,-
vi. Securities Except Stocks,22865.77,11330.68,13282.12,14131.06,14307.45,13642.77,15394.15,15614.55,19221.25,15507.75,14924.68,13399.06,-
Total (M2 = M1 + v + vi),4174825.91,4218122.76,4246361.19,4275711.11,4288369.26,4358801.51,4373208.1,4404085.03,4508603.17,4443078.08,4452324.65,4548800.27,-
