Money Type,,,,,,,,,,,,,
,Money Supply (Billion Rupiahs),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
i. Currency,712529.24,698226.62,692478.03,732643.55,743534.2,739006.37,758702.97,750510.11,748616.24,766703.91,775051.34,831233.71,-
ii. Demand Deposits,1049766.46,1086536.61,1134913.13,1118307.36,1118232.71,1176422.95,1174588.49,1187879.52,1219818.13,1304713.92,1339651.75,1450966.55,-
Total (M1 = i+ii),1762295.71,1784763.23,1827391.16,1850950.91,1861766.9,1915429.33,1933291.47,1938389.63,1968434.37,2071417.83,2114703.09,2282200.26,-
iii. Currency Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Demand Deposits Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Quasi Money,4983837.73,5012979.2,5049972.23,5095802.07,5124161.16,5198174.82,5210209.67,5252508.41,5311397.61,5400094.37,5438522.72,5565577.54,-
vi. Securities Except Stocks,21274.21,20045.48,18200.73,17633.52,18165.01,16457.27,17059.2,20602.68,21088.66,20192.18,20094.09,22675.06,-
Total (M2 = M1 + v + vi),6767407.65,6817787.91,6895564.12,6964386.49,7004093.08,7130061.42,7160560.33,7211500.72,7300920.64,7491704.38,7573319.9,7870452.85,-
