Money Type,,,,,,,,,,,,,
,Money Supply (Billion Rupiahs),,,,,,,,,,,,
,2017,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually
i. Currency,470250.25,462412.91,468941.88,483042.03,485123.85,561820.83,517809.72,527097.79,523359.53,519861.42,537297.62,586576.33,-
ii. Demand Deposits,721249.44,733623.71,746914.8,762885.36,790768.64,780030.43,775425.12,747705.47,781014.3,805900.92,800845.71,804230.62,-
Total (M1 = i+ii),1191499.69,1196036.61,1215856.68,1245927.39,1275892.5,1341851.26,1293234.84,1274803.26,1304373.83,1325762.33,1338143.33,1390806.95,-
iii. Currency Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
iv. Demand Deposits Composition (%),-,-,-,-,-,-,-,-,-,-,-,-,-
v. Quasi Money,3731092.96,3732698.82,3783892.52,3771123.85,3832520.28,3866025.07,3866730.72,3925676.92,3930658.85,3939212.4,3964506.66,4009995.84,-
vi. Securities Except Stocks,14289.33,14184.33,17894.35,16729.05,16971.01,17289.43,18113.19,19167.46,19105.83,19345.43,18781.78,18362.25,-
Total (M2 = M1 + v + vi),4936881.99,4942919.76,5017643.55,5033780.29,5125383.79,5225165.76,5178078.75,5219647.63,5254138.51,5284320.16,5321431.77,5419165.05,-
